Id,Name,Type,Phase,Address,Status,Gender,Town,x,y
AldersbrookPrimarySchoolHarpendenRoad,Aldersbrook Primary School,Community School,Primary,Harpenden Road,Open,Mixed,Redbridge,0.0346191,51.5642014
AlderwoodPrimarySchoolRainhamClose,Alderwood Primary School,Community School,Primary,Rainham Close,Open,Mixed,Greenwich,0.0860182,51.4485016
AlecReedAcademyBengarthRoad,Alec Reed Academy,Academy Sponsor Led,All Through,Bengarth Road,Open,Mixed,Ealing,-0.382438,51.543499
AlexanderMcleodPrimarySchoolFuchsiaStreet,Alexander Mcleod Primary School,Community School,Primary,Fuchsia Street,Open,Mixed,Greenwich,0.11289,51.4852982
AlexandraInfantSchoolAlexandraRoad,Alexandra Infant School,Community School,Primary,Alexandra Road,Open,Mixed,Kingston Upon Thames,-0.287971,51.4171982
AlexandraJuniorSchoolCatorRoad,Alexandra Junior School,Academy Converter,Primary,Cator Road,Open,Mixed,Bromley,-0.0461523,51.4210014
AlexandraParkSchoolBidwellGardens,Alexandra Park School,Academy Converter,Secondary,Bidwell Gardens,Open,Mixed,Haringey,-0.136971,51.6021004
AlexandraPrimarySchoolWesternRoad,Alexandra Primary School,Community School,Primary,Western Road,Open,Mixed,Haringey,-0.115348,51.5952988
AlexandraSchoolAlexandraAvenue,Alexandra School,Academy Special Converter,Not applicable,Alexandra Avenue,Open,Mixed,Harrow,-0.369896,51.5671997
Al-falahPrimarySchool48KenninghallRoad,Al-falah Primary School,Other Independent School,Not applicable,48 Kenninghall Road,Open,Mixed,Hackney,-0.0588304,51.5582008
AlfredSalterPrimarySchoolQuebecWay,Alfred Salter Primary School,Community School,Primary,Quebec Way,Open,Mixed,Southwark,-0.0435828,51.4995995
AlifAcademy313-319KatherineRoad,Alif Academy,Other Independent School,Not applicable,313-319 Katherine Road,Closed,Mixed,Newham,0.038884,51.5373001
Al-khairSchool109-117CherryOrchardRoad,Al-khair School,Other Independent School,Not applicable,109-117 Cherry Orchard Road,Open,Mixed,Croydon,-0.089138,51.3792992
AllSaintsBenhiltonCofePrimarySchoolAllSaintsRoad,All Saints Benhilton Cofe Primary School,Voluntary Aided School,Primary,All Saints Road,Open,Mixed,Sutton,-0.191806,51.3726006
AllSaintsCarshaltonChurchOfEnglandPrimarySchoolRotherfieldRoad,All Saints Carshalton Church Of England Primary School,Voluntary Aided School,Primary,Rotherfield Road,Open,Mixed,Sutton,-0.158874,51.3651009
AllSaintsCatholicSchoolAndTechnologyCollegeTerlingRoad,All Saints Catholic School And Technology College,Voluntary Aided School,Secondary,Terling Road,Open,Mixed,Barking And Dagenham,0.151278,51.5626984
AllSaintsCofePrimarySchoolBishopsAvenue,All Saints Cofe Primary School,Voluntary Aided School,Primary,Bishops Avenue,Open,Mixed,Hammersmith And Fulham,-0.213631,51.4729004
AllSaints'ChurchOfEnglandPrimarySchool2BlackheathVale,All Saints' Church Of England Primary School,Voluntary Aided School,Primary,2 Blackheath Vale,Open,Mixed,Lewisham,0.0034497,51.4695015
AllSaints'CofePrimarySchoolEastRoad,All Saints' Cofe Primary School,Voluntary Aided School,Primary,East Road,Open,Mixed,Merton,-0.183056,51.4185982
AllSaints'CofePrimarySchoolN20116OakleighRoadNorth,All Saints' Cofe Primary School N20,Voluntary Aided School,Primary,116 Oakleigh Road North,Open,Mixed,Barnet,-0.167771,51.6290016
AllSaints'CofePrimarySchoolNw2CricklewoodLane,All Saints' Cofe Primary School Nw2,Voluntary Aided School,Primary,Cricklewood Lane,Open,Mixed,Barnet,-0.199964,51.5620995
"AllSaints'CofePrimarySchool,PutneyPutneyCommon","All Saints' Cofe Primary School, Putney",Voluntary Aided School,Primary,Putney Common,Open,Mixed,Wandsworth,-0.227392,51.4673996
AllSoulsCofePrimarySchoolFoleyStreet,All Souls Cofe Primary School,Voluntary Aided School,Primary,Foley Street,Open,Mixed,Westminster,-0.138642,51.5199013
AllenEdwardsPrimarySchoolStudleyRoad,Allen Edwards Primary School,Community School,Primary,Studley Road,Open,Mixed,Lambeth,-0.127235,51.4729004
AllenbyPrimarySchoolAllenbyRoad,Allenby Primary School,Community School,Primary,Allenby Road,Open,Mixed,Ealing,-0.365599,51.5200005
Alleyn'sSchoolTownleyRoad,Alleyn's School,Other Independent School,Not applicable,Townley Road,Open,Mixed,Southwark,-0.0820311,51.4547997
AllfarthingPrimarySchoolStAnn'sCrescent,Allfarthing Primary School,Community School,Primary,St Ann's Crescent,Open,Mixed,Wandsworth,-0.185687,51.4534988
AlmaPrimary3BeaumontClose,Alma Primary,Free Schools,Primary,3 Beaumont Close,Open,Mixed,Barnet,-0.165443,51.5867996
AlmaPrimarySchoolAlmaRoad,Alma Primary School,Community School,Primary,Alma Road,Open,Mixed,Enfield,-0.0360492,51.6445007
Al-mizanSchool46WhitechapelRoad,Al-mizan School,Other Independent School,Not applicable,46 Whitechapel Road,Open,Boys,Tower Hamlets,-0.0659429,51.5172997
Al-muntadaIslamicSchool7BridgesPlace,Al-muntada Islamic School,Other Independent School,Not applicable,7 Bridges Place,Open,Mixed,Hammersmith And Fulham,-0.201631,51.4762993
Al-noorPrimarySchool619-625GreenLane,Al-noor Primary School,Other Independent School,Not applicable,619 - 625 Green Lane,Open,Mixed,Redbridge,0.116284,51.5632019
AlpertonCommunitySchoolStanleyAvenue,Alperton Community School,Academy Converter,Secondary,Stanley Avenue,Open,Mixed,Brent,-0.292712,51.5433998
AlphaPreparatorySchool21HindesRoad,Alpha Preparatory School,Other Independent School,Not applicable,21 Hindes Road,Open,Mixed,Harrow,-0.335053,51.5853004
Al-risalah145UpperTootingRoad,Al-risalah,Other Independent School,Not applicable,145 Upper Tooting Road,Open,Mixed,Wandsworth,-0.163489,51.4324989
Al-sadiqAndAl-zahraSchools134SalusburyRoad,Al-sadiq And Al-zahra Schools,Other Independent School,Not applicable,134 Salusbury Road,Open,Mixed,Brent,-0.20922,51.5399017
AltmoreInfantSchoolAltmoreAvenue,Altmore Infant School,Community School,Primary,Altmore Avenue,Open,Mixed,Newham,0.0583495,51.5365982
AmblerPrimarySchoolAndChildren'sCentreBlackstockRoad,Ambler Primary School And Children's Centre,Community School,Primary,Blackstock Road,Open,Mixed,Islington,-0.101753,51.5625992
AmyJohnsonPrimarySchoolMollisonDrive,Amy Johnson Primary School,Community School,Primary,Mollison Drive,Open,Mixed,Sutton,-0.130091,51.3521996
AndrewsLanePrimarySchoolAndrewsLane,Andrews Lane Primary School,Community School,Primary,Andrews Lane,Open,Mixed,Broxbourne,-0.053387,51.7104988
AngelOakAcademyBurcherGaleGrove,Angel Oak Academy,Academy Sponsor Led,Primary,Burcher Gale Grove,Open,Mixed,Southwark,-0.0790988,51.4804001
AnnemountSchool18HolneChase,Annemount School,Other Independent School,Not applicable,18 Holne Chase,Open,Mixed,Barnet,-0.175828,51.5797997
AnsonPrimarySchoolAnsonRoad,Anson Primary School,Community School,Primary,Anson Road,Open,Mixed,Brent,-0.219354,51.5536003
ApexPrimarySchool60-62ArgyleRoad,Apex Primary School,Other Independent School,Not applicable,60-62 Argyle Road,Open,Mixed,Redbridge,0.0655303,51.5626984
ApplegarthAcademyBygroveFieldway,Applegarth Academy,Academy Sponsor Led,Primary,Bygrove Fieldway,Open,Mixed,Croydon,-0.0261859,51.3549004
AppliedEducationalSolutions10CentralParade,Applied Educational Solutions,Other Independent Special School,Not applicable,10 Central Parade,Open,Mixed,Enfield,-0.0453796,51.6571007
AragonPrimarySchoolAragonRoad,Aragon Primary School,Community School,Primary,Aragon Road,Open,Mixed,Merton,-0.220096,51.3885002
ArcSchoolNaptonC/oKedlestonSchools,Arc School Napton,Other Independent Special School,Not applicable,C/o Kedleston Schools,Open,Mixed,Hillingdon,-0.442973,51.5080986
ArchbishopSumnerChurchOfEnglandPrimarySchoolReedworthStreet,Archbishop Sumner Church Of England Primary School,Voluntary Aided School,Primary,Reedworth Street,Open,Mixed,Lambeth,-0.109974,51.4916
ArchbishopTenison'sCofeHighSchoolSelborneRoad,Archbishop Tenison's Cofe High School,Voluntary Aided School,Secondary,Selborne Road,Open,Mixed,Croydon,-0.0819211,51.3694992
ArchbishopTenison'sSchool55KenningtonOval,Archbishop Tenison's School,Voluntary Aided School,Secondary,55 Kennington Oval,Open,Mixed,Lambeth,-0.116039,51.4824982
ArchdeaconCambridge'sChurchOfEnglandPrimarySchoolTheGreen,Archdeacon Cambridge's Church Of England Primary School,Voluntary Aided School,Primary,The Green,Open,Mixed,Richmond Upon Thames,-0.34182,51.4421005
ArdleighGreenInfantSchoolArdleighGreenRoad,Ardleigh Green Infant School,Community School,Primary,Ardleigh Green Road,Open,Mixed,Havering,0.220057,51.5848999
ArdleighGreenJuniorSchoolArdleighGreenRoad,Ardleigh Green Junior School,Community School,Primary,Ardleigh Green Road,Open,Mixed,Havering,0.220057,51.5848999
ArgylePrimarySchoolTonbridgeStreet,Argyle Primary School,Community School,Primary,Tonbridge Street,Open,Mixed,Camden,-0.12392,51.528801
ArkAcademyFortyAvenue,Ark Academy,Academy Sponsor Led,All Through,Forty Avenue,Open,Mixed,Brent,-0.28018,51.5656013
ArkAllSaintsAcademy140WyndhamRoad,Ark All Saints Academy,Academy Sponsor Led,Secondary,140 Wyndham Road,Open,Mixed,Southwark,-0.100471,51.4782982
ArkAtwoodPrimaryAcademyAmberleyRoad,Ark Atwood Primary Academy,Free Schools,Primary,Amberley Road,Open,Mixed,Westminster,-0.191646,51.5229988
ArkBentworthPrimaryAcademyBentworthRoad,Ark Bentworth Primary Academy,Academy Converter,Primary,Bentworth Road,Open,Mixed,Hammersmith And Fulham,-0.232321,51.5153008
ArkBolingbrokeAcademyWakehurstRoad,Ark Bolingbroke Academy,Free Schools,Secondary,Wakehurst Road,Open,Mixed,Wandsworth,-0.168296,51.4561005
ArkBrunelPrimaryAcademyMiddleRow,Ark Brunel Primary Academy,Academy Sponsor Led,Primary,Middle Row,Open,Mixed,Kensington And Chelsea,-0.212007,51.5257988
ArkBurlingtonDanesAcademyWoodLane,Ark Burlington Danes Academy,Academy Sponsor Led,All Through,Wood Lane,Open,Mixed,Hammersmith And Fulham,-0.22973,51.519001
ArkByronPrimaryAcademyActonLane,Ark Byron Primary Academy,Free Schools,Primary,Acton Lane,Open,Mixed,Ealing,-0.265822,51.5056992
ArkConwayPrimaryAcademy60HemlockRoad,Ark Conway Primary Academy,Free Schools,Primary,60 Hemlock Road,Open,Mixed,Hammersmith And Fulham,-0.242485,51.5138016
ArkElvinAcademyCecilAvenue,Ark Elvin Academy,Academy Sponsor Led,Secondary,Cecil Avenue,Open,Mixed,Brent,-0.291006,51.5523987
ArkEvelynGraceAcademy255ShakespeareRoad,Ark Evelyn Grace Academy,Academy Sponsor Led,Secondary,255 Shakespeare Road,Open,Mixed,Lambeth,-0.104106,51.4608002
ArkFranklinPrimaryAcademyHarvistRoad,Ark Franklin Primary Academy,Academy Sponsor Led,Primary,Harvist Road,Open,Mixed,Brent,-0.217704,51.5326996
ArkGlobeAcademyHarperRoad,Ark Globe Academy,Academy Sponsor Led,All Through,Harper Road,Open,Mixed,Southwark,-0.0908351,51.4956017
ArkIsaacNewtonAcademy1CricklefieldPlace,Ark Isaac Newton Academy,Academy Sponsor Led,All Through,1 Cricklefield Place,Open,Mixed,Redbridge,0.0919876,51.5614014
ArkJohnKeatsAcademyBellLane,Ark John Keats Academy,Free Schools,All Through,Bell Lane,Open,Mixed,Enfield,-0.0366984,51.6660004
ArkKingSolomonAcademyPenfoldStreet,Ark King Solomon Academy,Academy Sponsor Led,All Through,Penfold Street,Open,Mixed,Westminster,-0.169091,51.5219002
ArkOvalPrimaryAcademy98CherryOrchardRoad,Ark Oval Primary Academy,Academy Sponsor Led,Primary,98 Cherry Orchard Road,Open,Mixed,Croydon,-0.0896412,51.3779984
ArkPrioryPrimaryAcademyActonLane,Ark Priory Primary Academy,Academy Sponsor Led,Primary,Acton Lane,Open,Mixed,Ealing,-0.26643,51.5047989
ArkPutneyAcademyPullmanGardens,Ark Putney Academy,Academy Converter,Secondary,Pullman Gardens,Open,Mixed,Wandsworth,-0.225576,51.4547997
ArkSwiftPrimaryAcademyAustraliaRoad,Ark Swift Primary Academy,Academy Sponsor Led,Primary,Australia Road,Open,Mixed,Hammersmith And Fulham,-0.229818,51.5119019
ArkWalworthAcademyShorncliffeRoad,Ark Walworth Academy,Academy Sponsor Led,Secondary,Shorncliffe Road,Open,Mixed,Southwark,-0.0794943,51.4870987
ArnettHillsJuniorMixedAndInfantSchoolBerryLane,Arnett Hills Junior Mixed And Infant School,Community School,Primary,Berry Lane,Open,Mixed,Three Rivers,-0.494342,51.6453018
ArnhemWharfPrimarySchool1ArnhemPlace,Arnhem Wharf Primary School,Community School,Primary,1 Arnhem Place,Open,Mixed,Tower Hamlets,-0.0265649,51.4953003
ArnoldHouseSchool1-3LoudounRoad,Arnold House School,Other Independent School,Not applicable,1-3 Loudoun Road,Open,Boys,Westminster,-0.176724,51.5339012
ArtsAndMediaSchoolIslingtonTurleRoad,Arts And Media School Islington,Foundation School,Secondary,Turle Road,Open,Mixed,Islington,-0.115907,51.5671005
ArtsEducationalSchool14BathRoad,Arts Educational School,Other Independent School,Not applicable,14 Bath Road,Open,Mixed,Hounslow,-0.252447,51.4959984
AscotRoadCommunityFreeSchoolAscotRoad,Ascot Road Community Free School,Free Schools,Primary,Ascot Road,Open,Mixed,Watford,-0.42242,51.649601
AsdLearningCentre-Woolwich4GunneryTerrace,Asd Learning Centre - Woolwich,Other Independent Special School,Not applicable,4 Gunnery Terrace,Closed,Boys,Greenwich,0.0742693,51.4921989
AshbourneIndependentSchool17OldCourtPlace,Ashbourne Independent School,Other Independent School,Not applicable,17 Old Court Place,Open,Mixed,Kensington And Chelsea,-0.189468,51.5027008
AshburnhamCommunitySchool17BlantyreStreet,Ashburnham Community School,Community School,Primary,17 Blantyre Street,Open,Mixed,Kensington And Chelsea,-0.178921,51.4813995
AshcroftTechnologyAcademy100WestHill,Ashcroft Technology Academy,Academy Sponsor Led,Secondary,100 West Hill,Open,Mixed,Wandsworth,-0.207478,51.456501
AshfieldJuniorSchoolSchoolLane,Ashfield Junior School,Voluntary Controlled School,Primary,School Lane,Open,Mixed,Hertsmere,-0.357177,51.6394005
AshfordCofePrimarySchoolSchoolRoad,Ashford Cofe Primary School,Voluntary Aided School,Primary,School Road,Open,Mixed,Spelthorne,-0.450937,51.4266014
AshfordParkPrimarySchoolStationCrescent,Ashford Park Primary School,Community School,Primary,Station Crescent,Open,Mixed,Spelthorne,-0.479692,51.4374008
AshgroveSchoolLtd116WidmoreRoad,Ashgrove School Ltd,Other Independent School,Not applicable,116 Widmore Road,Open,Mixed,Bromley,0.0252924,51.4067001
AshleyCofeAidedPrimarySchoolAshleyRoad,Ashley Cofe Aided Primary School,Academy Converter,Primary,Ashley Road,Open,Mixed,Elmbridge,-0.417954,51.3837013
AshmeadPrimarySchoolAshmeadRoad,Ashmead Primary School,Community School,Primary,Ashmead Road,Open,Mixed,Lewisham,-0.025531,51.4692001
AshmoleAcademyCecilRoad,Ashmole Academy,Academy Converter,Secondary,Cecil Road,Open,Mixed,Barnet,-0.132946,51.6301994
AshmolePrimarySchoolAshmoleStreet,Ashmole Primary School,Community School,Primary,Ashmole Street,Open,Mixed,Lambeth,-0.11495,51.4819984
AshmountPrimarySchoolCrouchHillPark,Ashmount Primary School,Community School,Primary,Crouch Hill Park,Open,Mixed,Islington,-0.124207,51.5737
AshtonHouseSchool50-52EversleyCrescent,Ashton House School,Other Independent School,Not applicable,50-52 Eversley Crescent,Open,Mixed,Hounslow,-0.346494,51.4776001
AssunnahPrimarySchool565aHighRoad,Assunnah Primary School,Other Independent School,Not applicable,565a High Road,Open,Mixed,Haringey,-0.0690657,51.5957985
AstonHouseSchool1AstonRoad,Aston House School,Other Independent School,Not applicable,1 Aston Road,Closed,Mixed,Ealing,-0.301472,51.5183983
AthelneyPrimarySchoolAthelneyStreet,Athelney Primary School,Community School,Primary,Athelney Street,Open,Mixed,Lewisham,-0.0239686,51.4341011
AthelstanHouseSchool36PercyRoad,Athelstan House School,Other Independent School,Not applicable,36 Percy Road,Open,Mixed,Richmond Upon Thames,-0.373211,51.417099
AtwoodPrimaryAcademyLimpsfieldRoad,Atwood Primary Academy,Academy Converter,Primary,Limpsfield Road,Open,Mixed,Croydon,-0.0747947,51.3283997
AudleyPrimarySchoolWhyteleafeRoad,Audley Primary School,Community School,Primary,Whyteleafe Road,Open,Mixed,Tandridge,-0.0866343,51.2952995
AuriolJuniorSchoolValeRoad,Auriol Junior School,Community School,Primary,Vale Road,Open,Mixed,Epsom And Ewell,-0.251333,51.3698997
AvantiCourtPrimarySchoolCarltonDrive,Avanti Court Primary School,Academy Converter,Primary,Carlton Drive,Open,Mixed,Redbridge,0.0879818,51.5878983
AvantiHouseSchoolBeaulieuDrive,Avanti House School,Free Schools,All Through,Beaulieu Drive,Open,Mixed,Harrow,-0.387882,51.5792007
AveleyPrimarySchoolStiffordRoad,Aveley Primary School,Community School,Primary,Stifford Road,Open,Mixed,Thurrock,0.261029,51.4986
AvenueHouseSchool70TheAvenue,Avenue House School,Other Independent School,Not applicable,70 The Avenue,Open,Mixed,Ealing,-0.319056,51.5168991
AvenueNurseryAndPre-preparatorySchool2HighgateAvenue,Avenue Nursery And Pre-preparatory School,Other Independent School,Not applicable,2 Highgate Avenue,Open,Mixed,Haringey,-0.144834,51.5760002
AvenuePrimaryAcademyAvenueRoad,Avenue Primary Academy,Academy Converter,Primary,Avenue Road,Open,Mixed,Sutton,-0.20419,51.3465004
AvenuePrimarySchoolMeanleyRoad,Avenue Primary School,Community School,Primary,Meanley Road,Open,Mixed,Newham,0.0501456,51.5500984
AvigdorHirschTorahTemimahPrimarySchoolParkside,Avigdor Hirsch Torah Temimah Primary School,Voluntary Aided School,Primary,Parkside,Open,Boys,Brent,-0.23327,51.5592995
AvonHouseSchool490HighRoad,Avon House School,Other Independent School,Not applicable,490 High Road,Open,Mixed,Redbridge,0.0256825,51.6147003
AvondaleParkPrimarySchoolSirdarRoad,Avondale Park Primary School,Community School,Primary,Sirdar Road,Open,Mixed,Kensington And Chelsea,-0.213811,51.5107002
AvonmorePrimarySchoolAvonmoreRoad,Avonmore Primary School,Community School,Primary,Avonmore Road,Open,Mixed,Hammersmith And Fulham,-0.20937,51.4948997
AyasofiaPrimarySchool130CavellStreet,Ayasofia Primary School,Other Independent School,Not applicable,130 Cavell Street,Open,Mixed,Tower Hamlets,-0.0571884,51.5181007
AyeshaCommunitySchoolMontaguRoadCampus,Ayesha Community School,Other Independent School,Not applicable,Montagu Road Campus,Open,Mixed,Barnet,-0.238731,51.5763016
AyeshaSiddiqaGirlsSchool165-169TheBroadway,Ayesha Siddiqa Girls School,Other Independent School,Not applicable,165-169 The Broadway,Open,Girls,Ealing,-0.378496,51.5074997
AylwardAcademyWindmillRoad,Aylward Academy,Academy Sponsor Led,Secondary,Windmill Road,Open,Mixed,Enfield,-0.0815543,51.6176987
AylwardPrimarySchoolPangbourneDrive,Aylward Primary School,Academy Sponsor Led,Primary,Pangbourne Drive,Open,Mixed,Harrow,-0.297329,51.6170998
AzharAcademyGirlsSchool235aRomfordRoad,Azhar Academy Girls School,Other Independent School,Not applicable,235a Romford Road,Open,Mixed,Newham,0.0204069,51.5458984
BabingtonHouseSchoolGrangeDrive,Babington House School,Other Independent School,Not applicable,Grange Drive,Open,Mixed,Bromley,0.0494536,51.4183998
Bacon'sCollegeTimberPondRoad,Bacon's College,Academy Sponsor Led,Secondary,Timber Pond Road,Open,Mixed,Southwark,-0.0411339,51.5019989
Baden-powellSchoolFerronRoad,Baden-powell School,Community School,Primary,Ferron Road,Open,Mixed,Hackney,-0.0578265,51.5573006
BalesCollege742HarrowRoad,Bales College,Other Independent School,Not applicable,742 Harrow Road,Open,Mixed,Westminster,-0.215363,51.5284996
BalgowanPrimarySchoolBalgowanRoad,Balgowan Primary School,Academy Converter,Primary,Balgowan Road,Open,Mixed,Bromley,-0.0389298,51.4044991
BancroftsPreparatorySchool611-627HighRoad,Bancrofts Preparatory School,Other Independent School,Not applicable,611-627 High Road,Open,Mixed,Redbridge,0.026642,51.6197014
BancroftsSchool611-627HighRoad,Bancrofts School,Other Independent School,Not applicable,611-627 High Road,Open,Mixed,Redbridge,0.026642,51.6197014
BandonHillPrimarySchoolSandyLaneSouth,Bandon Hill Primary School,Community School,Primary,Sandy Lane South,Open,Mixed,Sutton,-0.138496,51.3582001
BangabandhuPrimarySchoolWessexStreet,Bangabandhu Primary School,Community School,Primary,Wessex Street,Open,Mixed,Tower Hamlets,-0.0520109,51.526001
BannockburnPrimarySchoolPlumsteadHighStreet,Bannockburn Primary School,Community School,Primary,Plumstead High Street,Open,Mixed,Greenwich,0.0946243,51.4872017
BansteadCommunityJuniorSchoolTheHorseshoe,Banstead Community Junior School,Community School,Primary,The Horseshoe,Open,Mixed,Reigate And Banstead,-0.207711,51.3221016
BansteadInfantSchoolTheHorseshoe,Banstead Infant School,Academy Converter,Primary,The Horseshoe,Open,Mixed,Reigate And Banstead,-0.209656,51.3218994
BarbaraSpeakeStageSchoolEastActonLane,Barbara Speake Stage School,Other Independent School,Not applicable,East Acton Lane,Open,Mixed,Ealing,-0.255291,51.5124016
BarclayPrimarySchool155CanterburyRoad,Barclay Primary School,Academy Converter,Primary,155 Canterbury Road,Open,Mixed,Waltham Forest,-9.728E-4,51.5758018
BarhamPrimarySchoolDanethorpeRoad,Barham Primary School,Community School,Primary,Danethorpe Road,Open,Mixed,Brent,-0.306758,51.5484009
BaringPrimarySchoolLinchmereRoad,Baring Primary School,Community School,Primary,Linchmere Road,Open,Mixed,Lewisham,0.0143357,51.4443016
"BarkingAbbeySchool,ASpecialistSportsAndHumanitiesCollegeSandringhamRoad","Barking Abbey School, A Specialist Sports And Humanities College",Community School,Secondary,Sandringham Road,Open,Mixed,Barking And Dagenham,0.101484,51.5427017
BarlbyPrimarySchoolBarlbyRoad,Barlby Primary School,Community School,Primary,Barlby Road,Open,Mixed,Kensington And Chelsea,-0.216501,51.5233002
BarleyLanePrimarySchoolHuxleyDrive,Barley Lane Primary School,Community School,Primary,Huxley Drive,Open,Mixed,Redbridge,0.113272,51.5698013
BarnCroftPrimarySchool2BrunelRoad,Barn Croft Primary School,Community School,Primary,2 Brunel Road,Open,Mixed,Waltham Forest,-0.0353931,51.5760994
BarnehurstInfantSchoolBarnehurstClose,Barnehurst Infant School,Academy Converter,Primary,Barnehurst Close,Open,Mixed,Bexley,0.162344,51.4692993
BarnehurstJuniorSchoolBarnehurstClose,Barnehurst Junior School,Academy Converter,Primary,Barnehurst Close,Open,Mixed,Bexley,0.161561,51.4692001
BarnesPrimarySchoolCrossStreet,Barnes Primary School,Community School,Primary,Cross Street,Open,Mixed,Richmond Upon Thames,-0.25087,51.4687004
BarnettWoodInfantSchoolBarnettWoodLane,Barnett Wood Infant School,Community School,Primary,Barnett Wood Lane,Open,Mixed,Mole Valley,-0.310296,51.3143997
BarnfieldPrimarySchoolSilkstreamRoad,Barnfield Primary School,Community School,Primary,Silkstream Road,Open,Mixed,Barnet,-0.264657,51.6007004
BarnhillCommunityHighSchoolYeadingLane,Barnhill Community High School,Academy Converter,Secondary,Yeading Lane,Open,Mixed,Hillingdon,-0.398904,51.5303993
