ID,DISTRITO,BARRIO,TIPO_VEHICULO,CLASIFICACION_AMBIENTAL,TIPO_CARBURANTE
774438724,Chamberi,ALMAGRO,TURISMO,CeroEmisiones,ELECTRICO
774516849,Chamberi,ALMAGRO,TURISMO,CeroEmisiones,ELECTRICO
774445547,Chamberi,ALMAGRO,TURISMO,CeroEmisiones,ELECTRICO
774796448,Chamberi,ALMAGRO,TURISMO,CeroEmisiones,ELECTRICO
774365567,Chamberi,ALMAGRO,TURISMO,CeroEmisiones,PHEV
774191997,Chamberi,ALMAGRO,TURISMO,CeroEmisiones,ELECTRICOS-RANGO-EXTENDIDO
774313702,Chamberi,ALMAGRO,TURISMO,CeroEmisiones,ELECTRICO
774404839,Chamberi,ALMAGRO,TURISMO,CeroEmisiones,PHEV
774641908,Chamberi,ALMAGRO,TURISMO,CeroEmisiones,ELECTRICO
774976483,Chamberi,ALMAGRO,TURISMO,ECO,PHEV
774707543,Chamberi,ALMAGRO,TURISMO,ECO,PHEV
33493174,Retiro,IBIZA,TURISMO,CeroEmisiones,PHEV
334972636,Retiro,IBIZA,TURISMO,CeroEmisiones,ELECTRICO
334892517,Retiro,IBIZA,TURISMO,CeroEmisiones,PHEV
334214771,Retiro,IBIZA,TURISMO,CeroEmisiones,PHEV
334268659,Retiro,IBIZA,TURISMO,CeroEmisiones,PHEV
334692017,Retiro,IBIZA,TURISMO,CeroEmisiones,PHEV
334529656,Retiro,IBIZA,TURISMO,CeroEmisiones,ELECTRICO
334985186,Retiro,IBIZA,TURISMO,CeroEmisiones,ELECTRICO
334899568,Retiro,IBIZA,TURISMO,CeroEmisiones,ELECTRICO
770395930,Chamberi,--,TURISMO,CeroEmisiones,PHEV
334496577,Retiro,IBIZA,TURISMO,ECO,PHEV
886509544,Fuencarral-El Pardo,VALVERDE,TURISMO,CeroEmisiones,ELECTRICO
886119849,Fuencarral-El Pardo,VALVERDE,TURISMO,CeroEmisiones,ELECTRICO
886315691,Fuencarral-El Pardo,VALVERDE,TURISMO,CeroEmisiones,ELECTRICO
886577974,Fuencarral-El Pardo,VALVERDE,TURISMO,CeroEmisiones,ELECTRICO
886195654,Fuencarral-El Pardo,VALVERDE,TURISMO,CeroEmisiones,PHEV
886118768,Fuencarral-El Pardo,VALVERDE,TURISMO,CeroEmisiones,ELECTRICOS-RANGO-EXTENDIDO
886629239,Fuencarral-El Pardo,VALVERDE,TURISMO,CeroEmisiones,ELECTRICO
886597327,Fuencarral-El Pardo,VALVERDE,TURISMO,CeroEmisiones,PHEV
886527572,Fuencarral-El Pardo,VALVERDE,TURISMO,CeroEmisiones,PHEV
886559390,Fuencarral-El Pardo,VALVERDE,TURISMO,CeroEmisiones,ELECTRICOS-RANGO-EXTENDIDO
886675874,Fuencarral-El Pardo,VALVERDE,TURISMO,CeroEmisiones,ELECTRICO
886383362,Fuencarral-El Pardo,VALVERDE,TURISMO,ECO,PHEV
886552159,Fuencarral-El Pardo,VALVERDE,TURISMO,ECO,PHEV
775985568,Chamberi,RIOSROSAS,TURISMO,CeroEmisiones,ELECTRICO
775802618,Chamberi,RIOSROSAS,TURISMO,CeroEmisiones,PHEV
775696708,Chamberi,RIOSROSAS,TURISMO,CeroEmisiones,PHEV
775562192,Chamberi,RIOSROSAS,TURISMO,CeroEmisiones,PHEV
775883723,Chamberi,RIOSROSAS,TURISMO,CeroEmisiones,ELECTRICO
77179383,Chamberi,GAZTAMBIDE,TURISMO,CeroEmisiones,ELECTRICO
771305274,Chamberi,GAZTAMBIDE,TURISMO,CeroEmisiones,ELECTRICO
771589958,Chamberi,GAZTAMBIDE,TURISMO,CeroEmisiones,PHEV
771888650,Chamberi,GAZTAMBIDE,TURISMO,CeroEmisiones,PHEV
771715432,Chamberi,GAZTAMBIDE,TURISMO,CeroEmisiones,ELECTRICO
771989758,Chamberi,GAZTAMBIDE,TURISMO,CeroEmisiones,ELECTRICO
771567267,Chamberi,GAZTAMBIDE,TURISMO,CeroEmisiones,ELECTRICO
771890320,Chamberi,GAZTAMBIDE,TURISMO,ECO,PHEV
775146159,Chamberi,RIOSROSAS,TURISMO,CeroEmisiones,PHEV
77587558,Chamberi,RIOSROSAS,TURISMO,CeroEmisiones,ELECTRICO
77596521,Chamberi,RIOSROSAS,TURISMO,CeroEmisiones,ELECTRICO
77517612,Chamberi,RIOSROSAS,TURISMO,CeroEmisiones,PHEV
775878126,Chamberi,RIOSROSAS,TURISMO,CeroEmisiones,ELECTRICO
775625625,Chamberi,RIOSROSAS,TURISMO,CeroEmisiones,PHEV
775293301,Chamberi,RIOSROSAS,TURISMO,CeroEmisiones,ELECTRICO
775145526,Chamberi,RIOSROSAS,TURISMO,ECO,PHEV
772390423,Chamberi,ARAPILES,CAMION,CeroEmisiones,ELECTRICO
335701903,Retiro,LOSJERONIMOS,TURISMO,CeroEmisiones,ELECTRICO
33566456,Retiro,LOSJERONIMOS,TURISMO,CeroEmisiones,ELECTRICO
335808381,Retiro,LOSJERONIMOS,TURISMO,CeroEmisiones,PHEV
335750612,Retiro,LOSJERONIMOS,TURISMO,CeroEmisiones,ELECTRICO
335495234,Retiro,LOSJERONIMOS,TURISMO,CeroEmisiones,PHEV
33585591,Retiro,LOSJERONIMOS,TURISMO,CeroEmisiones,ELECTRICO
33595575,Retiro,LOSJERONIMOS,TURISMO,ECO,PHEV
776258560,Chamberi,VALLEHERMOSO,TURISMO,CeroEmisiones,ELECTRICO
776327093,Chamberi,VALLEHERMOSO,TURISMO,CeroEmisiones,ELECTRICOS-RANGO-EXTENDIDO
776380904,Chamberi,VALLEHERMOSO,TURISMO,CeroEmisiones,ELECTRICO
776844667,Chamberi,VALLEHERMOSO,TURISMO,CeroEmisiones,ELECTRICO
776691921,Chamberi,VALLEHERMOSO,CAMION,CeroEmisiones,ELECTRICO
776274851,Chamberi,VALLEHERMOSO,TURISMO,CeroEmisiones,PHEV
776888075,Chamberi,VALLEHERMOSO,TURISMO,CeroEmisiones,ELECTRICO
776536916,Chamberi,VALLEHERMOSO,TURISMO,CeroEmisiones,PHEV
776407517,Chamberi,VALLEHERMOSO,TURISMO,CeroEmisiones,PHEV
776143645,Chamberi,VALLEHERMOSO,TURISMO,CeroEmisiones,ELECTRICO
776443213,Chamberi,VALLEHERMOSO,TURISMO,CeroEmisiones,ELECTRICO
772780720,Chamberi,ARAPILES,TURISMO,CeroEmisiones,ELECTRICO
772635009,Chamberi,ARAPILES,TURISMO,CeroEmisiones,ELECTRICO
772358735,Chamberi,ARAPILES,TURISMO,CeroEmisiones,ELECTRICO
887231389,Fuencarral-El Pardo,MIRASIERRA,TURISMO,CeroEmisiones,PHEV
887872866,Fuencarral-El Pardo,MIRASIERRA,TURISMO,CeroEmisiones,PHEV
887906904,Fuencarral-El Pardo,MIRASIERRA,TURISMO,CeroEmisiones,ELECTRICO
887505340,Fuencarral-El Pardo,MIRASIERRA,TURISMO,CeroEmisiones,ELECTRICO
887679150,Fuencarral-El Pardo,MIRASIERRA,TURISMO,CeroEmisiones,ELECTRICO
887589007,Fuencarral-El Pardo,MIRASIERRA,TURISMO,CeroEmisiones,ELECTRICO
887843460,Fuencarral-El Pardo,MIRASIERRA,TURISMO,CeroEmisiones,ELECTRICO
887319628,Fuencarral-El Pardo,MIRASIERRA,TURISMO,CeroEmisiones,ELECTRICO
887473159,Fuencarral-El Pardo,MIRASIERRA,TURISMO,CeroEmisiones,PHEV
887250179,Fuencarral-El Pardo,MIRASIERRA,TURISMO,CeroEmisiones,PHEV
887627810,Fuencarral-El Pardo,MIRASIERRA,TURISMO,CeroEmisiones,ELECTRICO
887345903,Fuencarral-El Pardo,MIRASIERRA,TURISMO,ECO,PHEV
772361885,Chamberi,ARAPILES,TURISMO,CeroEmisiones,PHEV
772933207,Chamberi,ARAPILES,TURISMO,CeroEmisiones,PHEV
772767638,Chamberi,ARAPILES,TURISMO,CeroEmisiones,ELECTRICO
772338217,Chamberi,ARAPILES,TURISMO,CeroEmisiones,ELECTRICO
880259213,Fuencarral-El Pardo,--,TURISMO,CeroEmisiones,ELECTRICO
880685913,Fuencarral-El Pardo,--,TURISMO,CeroEmisiones,ELECTRICO
880720638,Fuencarral-El Pardo,--,TURISMO,CeroEmisiones,PHEV
880496208,Fuencarral-El Pardo,--,TURISMO,CeroEmisiones,PHEV
880843378,Fuencarral-El Pardo,--,TURISMO,CeroEmisiones,PHEV
880375053,Fuencarral-El Pardo,--,TURISMO,CeroEmisiones,PHEV
77618726,Chamberi,VALLEHERMOSO,TURISMO,CeroEmisiones,PHEV
77622027,Chamberi,VALLEHERMOSO,TURISMO,CeroEmisiones,ELECTRICO
776289352,Chamberi,VALLEHERMOSO,TURISMO,CeroEmisiones,ELECTRICO
776122558,Chamberi,VALLEHERMOSO,TURISMO,CeroEmisiones,ELECTRICO
776511968,Chamberi,VALLEHERMOSO,TURISMO,CeroEmisiones,PHEV
776422232,Chamberi,VALLEHERMOSO,TURISMO,CeroEmisiones,ELECTRICO
776181051,Chamberi,VALLEHERMOSO,TURISMO,CeroEmisiones,PHEV
776521895,Chamberi,VALLEHERMOSO,TURISMO,CeroEmisiones,ELECTRICO
77638865,Chamberi,VALLEHERMOSO,TURISMO,CeroEmisiones,PHEV
881186463,Fuencarral-El Pardo,ELPARDO,TURISMO,CeroEmisiones,PHEV
773171462,Chamberi,TRAFALGAR,TURISMO,CeroEmisiones,ELECTRICO
773708897,Chamberi,TRAFALGAR,TURISMO,CeroEmisiones,ELECTRICO
773755020,Chamberi,TRAFALGAR,TURISMO,CeroEmisiones,PHEV
773253634,Chamberi,TRAFALGAR,TURISMO,CeroEmisiones,PHEV
773881503,Chamberi,TRAFALGAR,TURISMO,CeroEmisiones,PHEV
773735703,Chamberi,TRAFALGAR,TURISMO,CeroEmisiones,ELECTRICO
882804771,Fuencarral-El Pardo,FUENTELARREINA,TURISMO,CeroEmisiones,ELECTRICO
882222765,Fuencarral-El Pardo,FUENTELARREINA,TURISMO,CeroEmisiones,PHEV
882660663,Fuencarral-El Pardo,FUENTELARREINA,TURISMO,ECO,PHEV
882352399,Fuencarral-El Pardo,FUENTELARREINA,TURISMO,ECO,PHEV
880944554,Fuencarral-El Pardo,--,TURISMO,CeroEmisiones,PHEV
336763245,Retiro,NINOJESUS,TURISMO,CeroEmisiones,ELECTRICO
336282775,Retiro,NINOJESUS,TURISMO,CeroEmisiones,PHEV
336546104,Retiro,NINOJESUS,TURISMO,CeroEmisiones,PHEV
336478268,Retiro,NINOJESUS,TURISMO,CeroEmisiones,PHEV
336997591,Retiro,NINOJESUS,TURISMO,CeroEmisiones,ELECTRICO
336894270,Retiro,NINOJESUS,TURISMO,CeroEmisiones,PHEV
336889714,Retiro,NINOJESUS,TURISMO,CeroEmisiones,PHEV
33613750,Retiro,NINOJESUS,TURISMO,CeroEmisiones,ELECTRICO
336592052,Retiro,NINOJESUS,TURISMO,CeroEmisiones,ELECTRICO
336361190,Retiro,NINOJESUS,TURISMO,CeroEmisiones,ELECTRICO
88373469,Fuencarral-El Pardo,PENAGRANDE,TURISMO,CeroEmisiones,PHEV
883239660,Fuencarral-El Pardo,PENAGRANDE,TURISMO,CeroEmisiones,ELECTRICO
883229814,Fuencarral-El Pardo,PENAGRANDE,TURISMO,CeroEmisiones,ELECTRICO
883843388,Fuencarral-El Pardo,PENAGRANDE,TURISMO,CeroEmisiones,ELECTRICO
883861569,Fuencarral-El Pardo,PENAGRANDE,TURISMO,CeroEmisiones,ELECTRICO
883621349,Fuencarral-El Pardo,PENAGRANDE,TURISMO,CeroEmisiones,PHEV
88360475,Fuencarral-El Pardo,PENAGRANDE,TURISMO,CeroEmisiones,PHEV
883796858,Fuencarral-El Pardo,PENAGRANDE,TURISMO,CeroEmisiones,PHEV
883667333,Fuencarral-El Pardo,PENAGRANDE,TURISMO,CeroEmisiones,ELECTRICO
883179786,Fuencarral-El Pardo,PENAGRANDE,TURISMO,CeroEmisiones,PHEV
883651553,Fuencarral-El Pardo,PENAGRANDE,TURISMO,CeroEmisiones,ELECTRICO
883102862,Fuencarral-El Pardo,PENAGRANDE,TURISMO,CeroEmisiones,PHEV
888660619,Fuencarral-El Pardo,ELGOLOSO,TURISMO,CeroEmisiones,ELECTRICO
888273850,Fuencarral-El Pardo,ELGOLOSO,TURISMO,CeroEmisiones,ELECTRICO
888136801,Fuencarral-El Pardo,ELGOLOSO,TURISMO,CeroEmisiones,ELECTRICO
888530442,Fuencarral-El Pardo,ELGOLOSO,TURISMO,CeroEmisiones,ELECTRICO
888523711,Fuencarral-El Pardo,ELGOLOSO,TURISMO,CeroEmisiones,PHEV
888963260,Fuencarral-El Pardo,ELGOLOSO,TURISMO,CeroEmisiones,ELECTRICO
888110545,Fuencarral-El Pardo,ELGOLOSO,TURISMO,CeroEmisiones,ELECTRICO
888230715,Fuencarral-El Pardo,ELGOLOSO,TURISMO,CeroEmisiones,PHEV
888123839,Fuencarral-El Pardo,ELGOLOSO,TURISMO,CeroEmisiones,PHEV
888968077,Fuencarral-El Pardo,ELGOLOSO,TURISMO,CeroEmisiones,PHEV
888374199,Fuencarral-El Pardo,ELGOLOSO,TURISMO,CeroEmisiones,ELECTRICO
88854374,Fuencarral-El Pardo,ELGOLOSO,TURISMO,CeroEmisiones,ELECTRICO
888993616,Fuencarral-El Pardo,ELGOLOSO,TURISMO,ECO,PHEV
883713266,Fuencarral-El Pardo,PENAGRANDE,TURISMO,ECO,PHEV
991576423,Moncloa-Aravaca,CASADECAMPO,TURISMO,CeroEmisiones,ELECTRICO
99154670,Moncloa-Aravaca,CASADECAMPO,TURISMO,CeroEmisiones,ELECTRICO
991852037,Moncloa-Aravaca,CASADECAMPO,TURISMO,CeroEmisiones,ELECTRICO
991585683,Moncloa-Aravaca,CASADECAMPO,TURISMO,CeroEmisiones,ELECTRICO
991101692,Moncloa-Aravaca,CASADECAMPO,TURISMO,CeroEmisiones,PHEV
991580229,Moncloa-Aravaca,CASADECAMPO,TURISMO,CeroEmisiones,ELECTRICO
77440889,Chamberi,ALMAGRO,TURISMO,CeroEmisiones,ELECTRICO
774706035,Chamberi,ALMAGRO,TURISMO,CeroEmisiones,ELECTRICO
774684435,Chamberi,ALMAGRO,TURISMO,CeroEmisiones,PHEV
774481944,Chamberi,ALMAGRO,TURISMO,CeroEmisiones,ELECTRICOS-RANGO-EXTENDIDO
774954033,Chamberi,ALMAGRO,TURISMO,CeroEmisiones,PHEV
77435178,Chamberi,ALMAGRO,TURISMO,CeroEmisiones,PHEV
774406335,Chamberi,ALMAGRO,TURISMO,CeroEmisiones,PHEV
77441671,Chamberi,ALMAGRO,TURISMO,CeroEmisiones,PHEV
882665503,Fuencarral-El Pardo,FUENTELARREINA,TURISMO,CeroEmisiones,PHEV
882725109,Fuencarral-El Pardo,FUENTELARREINA,TURISMO,CeroEmisiones,ELECTRICO
882260230,Fuencarral-El Pardo,FUENTELARREINA,TURISMO,CeroEmisiones,PHEV
88261400,Fuencarral-El Pardo,FUENTELARREINA,TURISMO,CeroEmisiones,PHEV
882447823,Fuencarral-El Pardo,FUENTELARREINA,TURISMO,CeroEmisiones,PHEV
882996735,Fuencarral-El Pardo,FUENTELARREINA,TURISMO,CeroEmisiones,PHEV
882645359,Fuencarral-El Pardo,FUENTELARREINA,TURISMO,CeroEmisiones,ELECTRICO
882779919,Fuencarral-El Pardo,FUENTELARREINA,TURISMO,CeroEmisiones,ELECTRICO
882527084,Fuencarral-El Pardo,FUENTELARREINA,TURISMO,ECO,PHEV
441819711,Salamanca,RECOLETOS,TURISMO,CeroEmisiones,ELECTRICO
441313147,Salamanca,RECOLETOS,TURISMO,CeroEmisiones,ELECTRICO
44136071,Salamanca,RECOLETOS,TURISMO,CeroEmisiones,ELECTRICO
441682531,Salamanca,RECOLETOS,TURISMO,CeroEmisiones,ELECTRICO
441478065,Salamanca,RECOLETOS,TURISMO,CeroEmisiones,PHEV
441237858,Salamanca,RECOLETOS,TURISMO,CeroEmisiones,ELECTRICO
883167740,Fuencarral-El Pardo,PENAGRANDE,TURISMO,CeroEmisiones,PHEV
883518637,Fuencarral-El Pardo,PENAGRANDE,TURISMO,CeroEmisiones,ELECTRICO
883897198,Fuencarral-El Pardo,PENAGRANDE,TURISMO,CeroEmisiones,ELECTRICO
883452072,Fuencarral-El Pardo,PENAGRANDE,TURISMO,CeroEmisiones,ELECTRICO
883207056,Fuencarral-El Pardo,PENAGRANDE,TURISMO,CeroEmisiones,ELECTRICO
883547978,Fuencarral-El Pardo,PENAGRANDE,TURISMO,CeroEmisiones,PHEV
883812354,Fuencarral-El Pardo,PENAGRANDE,TURISMO,CeroEmisiones,PHEV
883799125,Fuencarral-El Pardo,PENAGRANDE,TURISMO,CeroEmisiones,PHEV
883660019,Fuencarral-El Pardo,PENAGRANDE,TURISMO,CeroEmisiones,PHEV
883891170,Fuencarral-El Pardo,PENAGRANDE,TURISMO,CeroEmisiones,PHEV
88393929,Fuencarral-El Pardo,PENAGRANDE,TURISMO,CeroEmisiones,ELECTRICO
883678186,Fuencarral-El Pardo,PENAGRANDE,TURISMO,CeroEmisiones,PHEV
883703715,Fuencarral-El Pardo,PENAGRANDE,TURISMO,CeroEmisiones,PHEV
883725149,Fuencarral-El Pardo,PENAGRANDE,TURISMO,ECO,PHEV
775869474,Chamberi,RIOSROSAS,TURISMO,CeroEmisiones,ELECTRICO
775960918,Chamberi,RIOSROSAS,TURISMO,CeroEmisiones,ELECTRICO
775955878,Chamberi,RIOSROSAS,TURISMO,CeroEmisiones,PHEV
7754169,Chamberi,RIOSROSAS,TURISMO,CeroEmisiones,PHEV
775147155,Chamberi,RIOSROSAS,TURISMO,CeroEmisiones,PHEV
775488194,Chamberi,RIOSROSAS,TURISMO,CeroEmisiones,PHEV
9924118,Moncloa-Aravaca,ARGUELLES,TURISMO,CeroEmisiones,ELECTRICO
992348484,Moncloa-Aravaca,ARGUELLES,TURISMO,CeroEmisiones,PHEV
992573029,Moncloa-Aravaca,ARGUELLES,TURISMO,CeroEmisiones,ELECTRICO
99272514,Moncloa-Aravaca,ARGUELLES,TURISMO,CeroEmisiones,ELECTRICO
99244544,Moncloa-Aravaca,ARGUELLES,TURISMO,CeroEmisiones,PHEV
99285260,Moncloa-Aravaca,ARGUELLES,TURISMO,CeroEmisiones,PHEV
992497847,Moncloa-Aravaca,ARGUELLES,TURISMO,CeroEmisiones,PHEV
