tipo_establecimiento;tipo_titularidad;municipio_codigo;municipio_nombre;direccion_via_codigo;direccion_via_nombre;direccion_portal_numero;direccion_piso;direccion_puerta;direccion_codigo_postal;direccion_ubicacion;direccion_coordenada_x;direccion_coordenada_y;direccion_longitud;direccion_latitud;horario_acceso;codigo_dea
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Privada;079;Madrid;CALLE;de Aracne;3;;;28022;Sala fitnes ;450176;4477650;-3,58755085258208;40,448013474645;;2022-116
Grandes establecimientos comerciales con una superficie superior a 2500 m2;Privada;079;Madrid;CALLE;de Aracne;0;2ª;;28022;PLANTA 2 CENTRO COMERCIAL PLENILUNIO;450170;4477656;-3,5876220749837;40,4480671667851;10-22;2018-2443
Grandes establecimientos comerciales con una superficie superior a 2500 m2;Privada;079;Madrid;CALLE;de Aracne;3;;;28022;CC PLENILUNIO ;450191;4477637;-3,58737295393041;40,4478972613552;;2023-829
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Pública;079;Madrid;AVDA;de la Aurora Boreal;S/N;;;28032;ESTADIO DE VICÁLVARO REAL FEDERACIÓN DE FÚTBOL DE MADRID;448159;4472372;-3,61090480151265;40,4003426053911;L A V 16.30-23 S-D 9-19;2018-2296
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Privada;079;Madrid;AVDA;de la Aurora Boreal;0;;;28032;CAMPO DE FUTBOL VALDEBERNARDO-Entrada principal vestuarios ;448123;4472417;-3,61133267697031;40,4007457532344;;2024-385
Otros;Privada;079;Madrid;CALLE;de la Caliza;29-59;;;28032;CALLE CALIZA 29-59 COMUNIDAD PROPIETARIOS RESIDEN MEDITERRANEO;448794;4472134;-3,60340308659074;40,3982378307795;24 H;2019-999
Otros;Privada;079;Madrid;CALLE;de la Caliza;2-10;;;28032;VALDERRIBAS II ;448626;4472145;-3,6053835539723;40,398326579026;;2021-843
Otros;Privada;079;Madrid;AVDA;de las Comunidades;28;;;28032;EDIFICIO DE FORMACIÓN. SALA DE BOTIQUÍN FAUNIA;447807;4471500;-3,6149811367338;40,3924650617071;24H;2018-2162
Otros;Privada;079;Madrid;CALLE;del Molino Viejo;14;;;28032;C.P. MOLINO VIEJO 14 ;448473;4471910;-3,60716736929445;40,3962000873677;;2022-437
Otros;Privada;079;Madrid;CALLE;del Molino Viejo;;;;28032;C.P RESIDENCIAL EUROPA ;448606;4471938;-3,60560250960195;40,3964605485809;24 H;2023-998
Otros;Privada;079;Madrid;CALLE;de Pirra;1-15;;;28022;COMUNIDAD CALLE PIRRA DEL 1 AL 15 ;449705;4477463;-3,59309004303738;40,446300499791;;2023-191
Otros;Privada;079;Madrid;CALLE;de Pirra;34;;;28022;COM.PROP. ;450255;4477256;-3,58658843085107;40,4444688043662;24H;2023-407
Otros;Privada;079;Madrid;CALLE;de Pirra;18;;;28022;;450171;4477296;-3,58758203957367;40,4448241195582;24H;2024-615
Centro educativo;Privada;079;Madrid;CALLE;del Titanio;7;;;28032;ESCUELA INFALTIL AMANECER ;449011;4472548;-3,60087928687058;40,4019807400089;DE 7:00 A 18:00 H;2019-995
Establecimiento hotelero con más de 100 plazas;Privada;079;Madrid;CTRA;de Andalucía;12,700;;;;HALL DE RECEPCIÓN ;441273;4462862;-3,69117013717889;40,314213769164;;2018-1940
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Privada;080;Majadahonda;CALLE;Azafrán;4;BAJA;;28222;POLÍGONO COMERCIAL EL CARRALERO GIMNASIO FÍSICO. EN EL HALL DE ENTRADA;426358;4478639;-3,86851428946312;40,4551537859168;;2017-392
Grandes establecimientos comerciales con una superficie superior a 2500 m2;Privada;080;Majadahonda;CALLE;Azafrán;13;;;28222;CENTRO COMERCIAL MILENIUM. JUNTO A GARITA DE SEGURIDAD OLIMPO REAL ESTATE SOCIMI SA;426421;4478748;-3,86778399791823;40,4561412438199;24 h;2019-2915
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Privada;080;Majadahonda;CALLE;Azafrán;4;;;28222;GO FIT FISICO-Planta Baja ;426359;4478638;-3,86850238101992;40,4551448664677;;2024-498
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Privada;080;Majadahonda;CALLE;Azafrán;4;;;28222;GO fit Fisico-Planta 3ª ;426359;4478638;-3,86850238101992;40,4551448664677;07:00 a 23:00;2020-290
Grandes establecimientos comerciales con una superficie superior a 2500 m2;Privada;080;Majadahonda;CALLE;Azafrán;13;;;28222;A LA ENTRADA DE LA TIENDA, JUNTO AL VIGILANTE DE SEGURIDAD MEDIA MARKT MAJADAHONDA VIDEO E232 MM;426395;4478735;-3,86808909890847;40,4560218368308;Lunes a sábado 10:00?22:00 / domingo 11:00?21:00;2018-1261
Establecimiento dependiente de una Administración Pública;Pública;080;Majadahonda;CALLE;Joaquín Turina;0;B;;28222;SEGURIDAD / JUZGADOS ;427057;4477861;-3,8601819821683;40,4482071417087;;2022-41
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Privada;079;Madrid;CALLE;de Monasterio de El Paular;2;;;28049;Recepción - GO FIT MONTECARMELO ;439504;4483489;-3,71394916971125;40,499905191438;;2023-288
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Privada;079;Madrid;CALLE;de Monasterio de El Paular;2;;;28049;GO FIT MONTECARMELO-P2 sala pesas ;439504;4483489;-3,71394916971125;40,499905191438;;2024-484
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Pública;177;Villanueva del Pardillo;CALLE;del Río Turia;1;;;28229;PISTA DE ATLETISMO ;418742;4482497;-3,95881821468587;40,4891961792752;;2021-631
Centro educativo;Privada;177;Villanueva del Pardillo;CALLE;Mallorca;2;;;28229;COLEGIO BILINGÜE VALLMONT ;418038;4482268;-3,96709445697305;40,4870641933656;;2017-139
Centro de trabajo con más de 250 trabajadores;Privada;180;Villarejo de Salvanés;AVDA;Hermanos Gómez Cuétara;1;;;28590;SERVICIO MÉDICO ;475323;4447236;-3,28983587773831;40,1751345369739;24 H;2019-2407
Otros;Privada;006;Alcobendas;CALLE;de la Kerria;28;;;28109;PORTERÍA ;445654;4485704;-3,64156406963643;40,5202844635712;24H;2019-849
Otros;Pública;028;Bustarviejo;CTRA;de Miraflores;1;;;28720;CAMPO DE FUTBOL PINAREJO ;438956;4523008;-3,72425855689626;40,8558532494284;;2019-1296
Otros;Privada;029;Cabanillas de la Sierra;LUGAR;Camping D'Oremor;;;;28721;FERNANMOR SL CRA. M631 KM O,700;446248;4519094;-3,63741000937462;40,821106938897;;2017-155
Centro educativo;Pública;030;Cabrera, La;CALLE;de las Azucenas;12;;;28751;Entrada principal junto a enfermeria ;448599;4524246;-3,60995792510419;40,8676666593384;;2023-101
Otros;Privada;092;Móstoles;CALLE;Camino del Obispo;6;1;;28935;LIDL SUPERMERCADOS MÓSTOLES. OFICINA ;424796;4464956;-3,88531822163711;40,3317559611533;L A V DE 8:30 A 19:00;2017-187
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Privada;092;Móstoles;CALLE;Ciclista David Gea;S/N;BAJA;;28935;EN VESTÍBULO DE ENTRADA PRINCIPAL. EN MOSTRADOR DE RECEPCIÓN ´CDM BF WELLNESS CENTER MÓSTOLES;424634;4464383;-3,88715751250182;40,3265796477635;7.30-23;2018-343
Centro educativo;Privada;092;Móstoles;CALLE;Egipto;7;;;28938;SALA PROFES. C/ NAPOLES 45, 28938, MOSTOLES, MADRID ;426240;4462684;-3,86805879732684;40,3114180321625;;2020-291
Otros;Privada;092;Móstoles;AVDA;de las Nieves;16;;;28933;EN LA OFICINA PRINCIPAL DE ATENCIÓN AL PÚBLICO, EN EL CLUB NOVOPADEL;425276;4466969;-3,87990376276962;40,3499325878239;10-22;2018-1198
Otros;Privada;092;Móstoles;AVDA;de las Nieves;3;;;28935;;425339;4466801;-3,87914234429039;40,3484248520133;;2024-283
Centro educativo;Privada;014;Arganda del Rey;CALLE;de la Solidaridad;4;;;28500;;462204;4461964;-3,44478479608344;40,3073331290598;9:00H a 19:00H;2023-432
Centro educativo;Privada;014;Arganda del Rey;CALLE;de la Solidaridad;4;;;28500;;462204;4461964;-3,44478479608344;40,3073331290598;9:00H a 19:00H;2023-433
Centro educativo;Privada;014;Arganda del Rey;CALLE;de la Solidaridad;4;;;28500;;462204;4461964;-3,44478479608344;40,3073331290598;9:00H a 19:00H;2023-434
Centro educativo;Pública;014;Arganda del Rey;CALLE;Mar de Alborán;1;;;28500;CENTRO MONTSERRAT CABALLÉ ESCUELA DE MÚSICA-Hall entrada ;463266;4460684;-3,43221398444116;40,2958488850265;;2024-319
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Pública;014;Arganda del Rey;CALLE;Mar Cantábrico;0;;;28500;CIUDAD DEL FUTBOL ? EL GRILLERO?-Pasillo vestuarios ;463371;4460450;-3,43096518956844;40,2937453670738;;2024-312
Otros;Pública;014;Arganda del Rey;AVDA;del Mediterráneo;7;;;28500;SEDE POLICÍA LOCAL-Hall principal ;463375;4460814;-3,43093896005939;40,2970248498593;;2024-316
Establecimiento dependiente de una Administración Pública;Pública;015;Arroyomolinos;PLAZA;Mayor;1;Baja;;28939;RECEPCION ;421754;4457914;-3,92026385552705;40,2680408254589;;2019-2716
Establecimiento dependiente de una Administración Pública;Pública;015;Arroyomolinos;CALLE;de Andalucía;18;;;28939;HALL ENTRADA CEIP LAS CASTAÑERAS;421817;4458566;-3,91960254701227;40,2739200729189;;2019-2717
Establecimiento dependiente de una Administración Pública;Pública;015;Arroyomolinos;CALLE;de Andalucía;28;;;28939;SALA REUNIONES ESCUELA INFANTIL LUNA LUNERA;421843;4458723;-3,91931592120347;40,2753367920891;;2019-2725
Centro educativo;Privada;079;Madrid;CALLE;de Monasterio de las Huelgas;15;;;28049;FUNDACIÓN A LA PAR EN EL HALL DE ENTRADA DEL EDIFICIO PRINCIPAL JUNTO CONSERJE;439919;4483766;-3,70907814058673;40,5024306501684;HORARIO LECTIVO;2017-48
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Privada;079;Madrid;CALLE;de Monasterio de las Huelgas;15;;;28049;FUNDACIÓN A LA PAR CLUB DE PÁDEL Y TENIS FUENCARRAL. OFICINA DE RECEPCIÓN;439824;4483801;-3,71020257771365;40,5027390570513;;2017-49
Otros;Privada;079;Madrid;CALLE;de Monasterio de las Huelgas;15;;;28049;Parque de ocio infantil FUNDALAND FUNDACION CARMEN PARDO VALCARCE;439889;4483768;-3,70943236572953;40,5024464939516;8 a 21 horas de lunes a viernes. 11 a 21 sábados, domingos y festivos;2023-527
Grandes establecimientos comerciales con una superficie superior a 2500 m2;Privada;013;Aranjuez;CALLE;Gonzalo Chacón;92;;;28300;A LA ENTRADA FRENTE A LAS CAJAS ;447258;4430225;-3,61806294290254;40,0205859686777;L-S 9:00 A 22:00 / D 11:00 A 20:00;2019-841
Otros;Privada;013;Aranjuez;CALLE;Gonzalo Chacón;90;;;28300;ESTACION ARANJUEZ ;448162;4430185;-3,60746669030987;40,020281612568;L-V 9-14;2024-344
Establecimiento dependiente de una Administración Pública;Pública;006;Alcobendas;CALLE;de Mariano Sebastián Izuel;9;;;28100;CENTRO DE ARTE CIUDAD DE ALCOBENDAS.MOSTRADOR DE INFORMACIÓN A LA ENTRADA. AYTO. ALCOBENDAS;446602;4487986;-3,63056607819463;40,5409032857617;10-21;2018-485
Centro de trabajo con más de 250 trabajadores;Privada;006;Alcobendas;AVDA;del Monte de Valdelatas;4;;;28108;;443964;4486383;-3,66157370932361;40,5262886711408;;2018-2254
Centro de trabajo con más de 250 trabajadores;Privada;006;Alcobendas;AVDA;del Monte de Valdelatas;4;;;28108;PASILLO SALA MAQUINAS EXPENDEDORAS ;444410;4487747;-3,65642836046506;40,5386061262885;;2019-396
Establecimiento dependiente de una Administración Pública;Pública;006;Alcobendas;CALLE;de Orense;7;;;28100;CENTRO DE MAYORES PEDRO GONZÁLEZ GUERRA. PUNTO DE INFORMACIÓN A LA ENTRADA A LA DERECHA. AYTO. ALCOBENDAS;446085;4488108;-3,63668127497482;40,5419688318511;L A V 9.30-20;2018-489
Establecimiento público con aforo igual o superior a 2000 personas;Pública;006;Alcobendas;CALLE;del Pintor Velázquez;0;;;28100;MUSEO NACIONAL DE CIENCIA Y TECNOLOGÍA VESTÍBULO PRINCIPAL, JUNTO A TORNOS DE ACCESO;445718;4487638;-3,64097455773285;40,5377109243013;24 H;2019-207
Otros;Privada;041;Cobeña;CALLE;Bronce;1;;;28863;;457794;4490328;-3,49856387259291;40,5626471032925;l-v 08-18;2024-401
Centro educativo;Privada;079;Madrid;AVDA;de la Gran Vía del Sureste;9;;;28051;pasillo entrada Gredos San Diego;450168;4468375;-3,58691894701687;40,3644573547363;;2023-619
Centros residenciales de mayores con 200 plazas;Pública;079;Madrid;AVDA;del Cerro Milano;1;;;28051;;447518;4468866;-3,61816925363307;40,3687180309893;;2019-528
Instalaciones de transporte;Pública;079;Madrid;AVDA;del Cerro Milano;0;;;28051;DENTRO DEL DEPÓSITO DE METRO DE VALDECARROS, NAVE DE MANTENIMIENT O DE TRENES. METRO DE MADRID;450260;4467015;-3,58572939124523;40,3522109189385;;2021-270
Otros;Privada;079;Madrid;AVDA;de Las Suertes;13;;;28051;COM. PROPIETARIOS AVDA. DE LAS SUERTES 13 ;448274;4469433;-3,60931104742102;40,3738732234734;;2021-276
Otros;Privada;079;Madrid;AVDA;de Las Suertes;55;;;28051;UBICADO JUNTO A GARITA CONSERJE ;449274;4468595;-3,59746539846873;40,366385365368;;2021-554
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;AVDA;del Ensanche de Vallecas;44;0;;28051;ENTRADA DEL EDIFICIO GRUPO ORTIZ;448339;4468746;-3,60848974704483;40,3676882677846;L A V 8-20;2018-813
Otros;Privada;079;Madrid;AVDA;del Ensanche de Vallecas;76;;;;C.P. ALFAGUARA II ENSANCHE DE VALLECAS JUNTO A LA PORTERÍA DE LA COMUNIDAD;448949;4468342;-3,60127288961161;40,3640863172592;;2019-217
Instalaciones de transporte;Pública;079;Madrid;AVDA;del Ensanche de Vallecas;120;;;28051;DENTRO DE LA ESTACION DE METRO VALDECARROS, EN EL VESTIBULO METRO DE MADRID;449628;4467881;-3,59323970651727;40,359974580518;;2021-232
Instalaciones de transporte;Pública;079;Madrid;AVDA;del Ensanche de Vallecas;0;;;28051;DENTRO DE LA ESTACIÓN DE METRO DE LA GAVIA, EN EL VESTÍBULO ESQUINA CALLE ALTO DE LA SARTENILLA;448002;4468919;-3,61247299967113;40,3692258231354;;2021-54
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;AVDA;del Ensanche de Vallecas;44;;;28051;;448339;4468746;-3,60848974704483;40,3676882677846;LUNES A VIERNES 08:00H. A 20:00H.;2022-1299
Otros;Privada;079;Madrid;AVDA;del Ensanche de Vallecas;91;;;28051;ESQUINA A C/ FERNANDO CHUECA GOITIA ;449639;4467996;-3,59311924356114;40,3610112519073;08:00 A 19:00 HORAS, LUNES A VIERNES;2023-890
Otros;Privada;079;Madrid;AVDA;del Ensanche de Vallecas;55-59;;;28051;PASILLO DE PORTALES (PORTAL 57 ;448948;4468453;-3,60129355249665;40,3650862257884;24H;2024-999
Instalaciones de transporte;Pública;079;Madrid;CALLE;de Cañada del Santísimo;0;;;28051;DENTRO ESTACIÓN METRO LAS SUERTES, VESTIBULO ESQ. AVDA. ENSANCHE DE VALLECAS;449091;4468236;-3,59959205545146;40,3631400732952;24 H;2020-815
Centro educativo;Privada;079;Madrid;CALLE;de Rafael de León;10;;;28051;;449021;4468563;-3,60044259226156;40,3660816536337;;2022-833
Centro educativo;Privada;079;Madrid;CALLE;de Rafael de León;10;;;28051;DESF. MÓVIL ;449021;4468563;-3,60044259226156;40,3660816536337;;2021-651
Otros;Privada;079;Madrid;CALLE;de José Gutiérrez Maroto;26;;;28051;RECEPCIÓN ENTRADA PASILLO DERECHA GREDOS SAN DIEGO S. COOP. MAD.;448765;4468569;-3,60345814411451;40,3661200128477;7.30-21;2018-91
Otros;Privada;079;Madrid;CALLE;de José Gutiérrez Maroto;22;3;;28051;ORONA. S. COOP. JUNTO A OFFICE;448774;4468593;-3,60335407344273;40,3663367754289;08:30 A 13:30 Y DE 15:30 A 18:00;2023-177
Otros;Privada;079;Madrid;AVDA;de La Gavia;14;;;28051;C.P. AVD. GAVIA 14 ;448162;4469600;-3,61064387158104;40,3753707189177;;2022-973
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;CALLE;de Entrepeñas;27;5;;28051;SECURITAS SEGURIDAD ESPAÑA ;448332;4468900;-3,60858467112785;40,3690751766206;;2017-27
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;CALLE;de Entrepeñas;27;2;;28051;SECURITAS SEGURIDAD ESPAÑA ;448332;4468900;-3,60858467112785;40,3690751766206;;2017-33
Centro de trabajo con más de 250 trabajadores;Privada;022;Boadilla del Monte;AVDA;del Prado del Espino;2;0;;28660;NÚCLEO 2 FUNDACIÓN SANTA MARÍA;427838;4472065;-3,8503152840486;40,3960640732614;24H;2018-542
Otros;Privada;022;Boadilla del Monte;AVDA;del Prado del Espino;3;;;28660;P.sotano- PARQUE EMPRESARIAL ;427817;4471785;-3,85053097109358;40,3935399597652;HORARIO OFICINA;2024-959
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Privada;022;Boadilla del Monte;CALLE;Impresores;10;;;28660;HALL PRINCIPAL FRENTE A ASCENSORES VITA 10 PADEL INDOOR;428143;4472092;-3,84672476022905;40,3963336657433;9-22;2018-115
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Privada;007;Alcorcón;AVDA;de América;7-9;2;;28922;;429415;4467928;-3,83127653825008;40,3589320384034;de 7:30 a 23:15;2018-2261
Otros;Privada;007;Alcorcón;AVDA;de América;34;;;28922;NP FRENTE CAJA DE PAGO ENTRANDO A LA IZDA ;428988;4468032;-3,83631636984743;40,3598326481551;7-20;2020-220
Establecimiento hotelero con más de 100 plazas;Privada;007;Alcorcón;CTRA;M-506;9;;;28922;UBICADO EN ENTRADA PRINCIPAL MANO IZQUIERDA ;428010;4464192;-3,8474002228837;40,3251569952809;24H;2024-708
Centro educativo;Pública;007;Alcorcón;AVDA;del Montepríncipe;5;;;28668;;429083;4472568;-3,83570244339243;40,4007021518477;9-20;2022-1406
Centro educativo;Privada;007;Alcorcón;AVDA;de Pablo Iglesias;6;;;28922;CENTRO DEPORTIVO AMANECER (ENTRADA) ;428745;4466118;-3,83896421583116;40,3425700593762;;2017-167
Centro educativo;Pública;007;Alcorcón;AVDA;de Pablo Iglesias;3;;;28922;EN EL HALL DE ENTRADA DEL EDIFICIO A I.E.S. PRADO DE SANTO DOMINGO;428585;4465883;-3,84082159704478;40,3404394307322;;2018-669
Centros residenciales de mayores con 200 plazas;Pública;007;Alcorcón;AVDA;de Pablo Iglesias;2;1ª;;28922;RECEPCIÓN AMAS;428519;4465850;-3,84159489026283;40,3401365059221;24H;2018-682
Otros;Privada;007;Alcorcón;CALLE;de Polvoranca;158;;;;CAJAS GASOLINERA MEGINO;431577;4466092;-3,80562033755805;40,3425728789096;DE 6:00 A 22:00;2020-321
Centros residenciales de mayores con 200 plazas;Privada;007;Alcorcón;AVDA;de Polvoranca;9;;;28921;RESIDENCIAL ALCORCÓN SANITAS MAYORES;430813;4465853;-3,81458900762423;40,3403568820045;;2022-1409
Centro educativo;Pública;022;Boadilla del Monte;CALLE;de Federico García Lorca;4;;;28660;COLEGIO FEDERICO GARCÍA LORCA EN EL HALL DE ENTRADA DEL EDIFICIO DE SECRETARIA;423876;4473337;-3,89714802526157;40,4071696261327;DE 8:00 A 18:00 DE LUNES A VIERNES;2017-75
Establecimiento dependiente de una Administración Pública;Pública;022;Boadilla del Monte;CALLE;de Francisco Alonso;2;;;28660;CENTRO DE EMPRESAS EN EL HALL DE ENTRADA;425123;4472591;-3,88236560237104;40,4005626722575;DE L A V DE 8:00 A 21:00 SABADOS DE 9:00 A 13:00;2017-60
Otros;Privada;022;Boadilla del Monte;CALLE;de Gaudí;6;;;28660;Al lado pistas de pádel COM. PROP.;424157;4472996;-3,89379608926513;40,4041235206806;24H;2023-708
Centro educativo;Pública;022;Boadilla del Monte;CALLE;de Gutiérrez Soto;12;;;28660;COLEGIO ÁGORA EN EL HALL DE ENTRADA;424084;4472645;-3,89461442100181;40,4009550339447;DE 8:00 A 18:00 DE LUNES A VIERNES;2017-76
Otros;Pública;096;Navalcarnero;AVDA;de Doña Mariana de Austria;;;;28600;PISCINA CUBIERTA MARTÍN LÓPEZ ZUBERO EN EL HALL DE RECEPCIÓN;413504;4459661;-4,01751552357512;40,2829654427284;DE 9:00 A 22:00 HORAS;2017-133
Otros;Pública;026;Brunete;CALLE;de los Arcos;7;;;28690;DEPENDENCIAS POLICIALES - VEHICULO POLICIAL ;415183;4473321;-3,99958191801945;40,4061852609478;24 H;2019-1311
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Pública;026;Brunete;CALLE;de los Arcos;2;;;28690;CAMPO DE FÚTBOL DEA UBICADO EN EL VESTUARIO DEL ÁRBITRO ;415180;4473342;-3,99962006712108;40,4063741189998;;2020-343
Establecimiento dependiente de una Administración Pública;Pública;026;Brunete;CALLE;del Campo;17;;;28690;CENTRO CULTURAL DEA UBICADO EN CUARTO TRASERO MOSTRADOR DEL ORDEN ;415234;4473026;-3,99894167392597;40,4035331544803;8:00 a 14:00 Y 16:00 A 20:00 (L a V);2019-1314
Otros;Privada;026;Brunete;CTRA;de M-501 (de Alcorcón a Plasencia);15,3;;;28690;GRANJA ESCUELA VIA DE SERVICIO, POLIGONO 11 PARCELA 77;418362;4473681;-3,9621681835022;40,409745897168;24H;2024-439
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Pública;026;Brunete;CALLE;Real de San Sebastián;1;;;28690;RECEPCIÓN/ATENCIÓN AL USUARIO PISCINA CUBIERTA MUNICIPAL;415342;4473042;-3,99767123767394;40,4036882672389;;2020-345
Otros;Privada;027;Buitrago del Lozoya;CTRA;M-137 (Gandullas);2,5;;;28730;Centro Estación de satélites ;449071;4540067;-3,60565754172027;41,0102090434164;;2021-309
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Pública;053;Daganzo de Arriba;CALLE;Don Quijote de la Mancha;1;;;28814;PABELLON DEPORTIVO MUNICIPAL ;461436;4489179;-3,45547347086319;40,5524738134108;L-V 09:00 A 21:00 Y S-D DEPENDIENDO DE ACTIVIDADES DEPORTIVAS;2021-893
Otros;Privada;053;Daganzo de Arriba;CALLE;los Los Alcaldes de Daganzo;2.7;;;28814;ENTRADA OFICINA-FABRICA P.I. EL GLOBO - CARRETERA ALCALÁ-DAGANZO KM23;462983;4487864;-3,43712558035958;40,5406979755821;;2022-734
Establecimiento dependiente de una Administración Pública;Pública;058;Fuenlabrada;PRAJE;de la Pollina;18;;;28946;CASITA DE ADMINISTRACIÓN La Pollina, ubicado fuera del casco urbano;434628;4459677;-3,76904476065673;40,2850279713174;Ver observaciones;2018-2141
Establecimiento dependiente de una Administración Pública;Pública;058;Fuenlabrada;AVDA;del Hospital;2;;;28942;HALL ENTRADA - Biblioteca Municipal José M. Caballero Bonnald ;430407;4460155;-3,81874845961858;40,2889933195969;Lúnes a Viernes 9:00 a 21:30;2018-2223
Establecimiento dependiente de una Administración Pública;Pública;058;Fuenlabrada;AVDA;del Hospital;2;;;28942;HALL ENTRADA Junta Municipal de Distrito Vivero-Hospital-Universidad;430407;4460155;-3,81874845961858;40,2889933195969;L a V de 8:00 a 20:00;2018-2178
Otros;Privada;079;Madrid;AVDA;del Mayorazgo;1;;;28051;"CARACOLA CENTRAL ENFRENTE DE VESTUARIOS CENTRO DE EMERGENCIA TEMPORAL ""LAS CARACOLAS""";445929;4469354;-3,63692590111107;40,3730127080464;10-18;2021-84
Otros;Privada;079;Madrid;AVDA;del Mayorazgo;14;;;28031;;446166;4469083;-3,63411145304906;40,3705866996638;24 H;2022-1426
Otros;Privada;079;Madrid;AVDA;del Mayorazgo;0;;;28051;JUNTO ROTONDA M45 ;446591;4468915;-3,62909158608848;40,3691005804431;De L-J de 08:00 a 14:00 y de 15:00 a 18:00;2024-593
Centro educativo;Privada;079;Madrid;CALLE;del Embalse de Navacerrada;9;BAJA;;28051;EN ENFERMERÍA COLEGIO TORREVILANO;448864;4468209;-3,60226329394184;40,3628829463987;;2018-1009
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Privada;080;Majadahonda;CALLE;Isaac Albéniz;18;;;28222;VITRINA EN RECEPCIÓN FORUS DEPORTE Y OCIO;426297;4477690;-3,8691234823496;40,4465997297695;DE L A V 09H A 23H S Y D DE 09H A 21H;2020-735
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Privada;080;Majadahonda;CALLE;Isaac Albéniz;77;;;28222;VITRINA EN ZONA ESPERA CAMPO DE PRACTICAS GOLF FORUS DEPORTE Y OCIO SL;426499;4477533;-3,86672354088321;40,4452033456159;DE L A V 08H A 21H S Y D DE 08H A 20H;2020-736
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Privada;080;Majadahonda;CALLE;Isaac Albéniz;77;;;28222;VITRINA ENTRE RECEPCIÓN CLUB SOCIAL Y RESTAURANTE CAMPO DE GOLF FORUS DEPORTE Y OCIO SL;426391;4477442;-3,86798639266564;40,444374056191;DE L A V 08H A 21H S Y D DE 08H A 20H;2020-738
Centro educativo;Privada;080;Majadahonda;CALLE;Barco;2;BAJA;;28222;COLEGIO CAUDE. EN EL VESTÍBULO ;437209;4470142;-3,73971266427088;40,3795000857565;;2018-290
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Privada;080;Majadahonda;CALLE;Ruperto Chapí;3;;;28222;En vitrina, junto a recepción , muy visible ;426302;4477984;-3,86909864357909;40,4492485440779;L-V 7 A 23 // S Y D 9-21;2019-2902
Centro educativo;Privada;080;Majadahonda;CALLE;Sorolla;4;;;28222;HALL DEL EDIFICIO DE PRIMARIA COLEGIO ALEGRA SLU;426883;4478361;-3,86229123124271;40,4526958946097;;2018-1564
Otros;Privada;080;Majadahonda;CALLE;Sorolla;1;;;28222;C.P. RESIDENCIAL QUIAN ;427179;4478275;-3,85879092223445;40,4519471851132;24H;2023-601
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Privada;080;Majadahonda;CALLE;Fresa;14;;;28222;PISTA DE HIELO DE MAJADAHONDA ;426036;4478462;-3,87229083571668;40,4535307679718;;2018-146
Grandes establecimientos comerciales con una superficie superior a 2500 m2;Privada;080;Majadahonda;CALLE;Fresa;2;;;28222;ENTRADA PUERTA PRINCIPAL, A LA DERECHA CENTRO COMERCIAL EQUINOCCIO;425854;4478666;-3,87446083095433;40,4553521926322;HORARIO CENTRO COMERCIAL;2018-1586
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Privada;080;Majadahonda;CALLE;Fresa;2;;;28222;c.comercial equinoccio ;425858;4478652;-3,87441202612826;40,4552264369086;l a v  7:00 a 23:00 - s 9:00 a a20:00 / d 9:00 a 15:00;2018-2256
Centro educativo;Pública;083;Meco;CALLE;del Acueducto;3;;;28880;SECRETARIA IES GASPAR SANZ;472680;4488551;-3,32264757489728;40,5472634979044;8:00-14:00;2021-164
Establecimiento dependiente de una Administración Pública;Pública;037;Cenicientos;PLAZA;de la Constitución;1;;;28650;FACHADA ACCESO PRINCIPAL AYUNTAMIENTO;375211;4458028;-4,46754750504486;40,2634205691398;8-15;2021-516
Centro educativo;Pública;037;Cenicientos;CALLE;de la Ronda del Sur;71;;;28650;FACHADA EDIFICIO ACCESO LATERAL CEIPSO SUAREZ SOMONTE;375215;4457833;-4,46746252243505;40,2616649114766;L-V 8:30-20;2021-518
