,centro_nro_registro,centro_tipo,alergologia,cardiologia,cirugia_mayor_ambulatoria,cirugia_menor_ambulatoria,dermatologia,endocrinologia,enfermeria,farmacia,fisioterapia,medicina_general,neumologia,neurologia,nutricion_y_dietetica,oncologia,otorrinolaringologia,pediatria,psicologia_clinica,psiquiatria,rehabilitacion,reumatologia,urgencias,vacunacion,direccion_completa,direccion_vial_tipo,direccion_vial_nombre,direccion_vial_nro,direccion_codigo_postal,municipio_nombre,localizacion_coordenada_x,localizacion_coordenada_y
22,CH0034,Hospital general,CH0034,CH0034,CH0034,CH0034,CH0034,CH0034,CH0034,CH0034,CH0034,,CH0034,CH0034,CH0034,CH0034,CH0034,CH0034,CH0034,CH0034,CH0034,,CH0034,CH0034,Calle del Doctor Esquerdo 46 28007 Madrid,Calle,del Doctor Esquerdo,46,28007.0,Madrid,443166.0,4474478.0
23,CH0037,Hospital especializado,CH0037,CH0037,CH0037,CH0037,CH0037,,CH0037,CH0037,CH0037,,,,CH0037,CH0037,CH0037,CH0037,CH0037,CH0037,CH0037,,CH0037,CH0037,Avda de Menéndez Pelayo 65 28009 Madrid,Avda,de Menéndez Pelayo,65,28009.0,Madrid,442574.0,4473916.0
24,CH0038,Hospital de media y larga estancia,,,,,,,CH0038,CH0038,CH0038,CH0038,,CH0038,CH0038,,,,CH0038,CH0038,CH0038,,,,Calle del Pinar de San José 98 28054 Madrid,Calle,del Pinar de San José,98,28054.0,Madrid,434227.0,4468202.0
25,CH0039,Hospital general,CH0039,CH0039,CH0039,CH0039,CH0039,CH0039,CH0039,CH0039,CH0039,CH0039,CH0039,CH0039,CH0039,CH0039,CH0039,CH0039,CH0039,CH0039,,,CH0039,CH0039,Calle de La Maso 38 28034 Madrid,Calle,de La Maso,38,28034.0,Madrid,439378.0,4482327.0
26,CH0041,Hospital general,CH0041,CH0041,CH0041,CH0041,CH0041,CH0041,CH0041,CH0041,CH0041,,CH0041,CH0041,CH0041,CH0041,CH0041,CH0041,CH0041,CH0041,CH0041,,CH0041,CH0041,Paseo de la Castellana 261 28046 Madrid,Paseo,de la Castellana,261,28046.0,Madrid,441826.0,4481289.0
27,CH0042,Hospital especializado,,CH0042,CH0042,CH0042,,,CH0042,CH0042,CH0042,CH0042,,CH0042,,,CH0042,,CH0042,CH0042,CH0042,,CH0042,,Calle de Joaquín de Cárdenas 2 28823 Coslada,Calle,de Joaquín de Cárdenas,2,28823.0,Coslada,454922.0,4476355.0
28,CH0043,Hospital de media y larga estancia,,,,,,,CH0043,CH0043,CH0043,,,,,,,,,,CH0043,,,,Paseo Molino del Rey 2 28440 Guadarrama,Paseo,Molino del Rey,2,28440.0,Guadarrama,408212.0,4502637.0
29,CH0044,Hospital general,CH0044,CH0044,CH0044,CH0044,CH0044,CH0044,CH0044,CH0044,CH0044,CH0044,CH0044,CH0044,CH0044,CH0044,CH0044,CH0044,CH0044,CH0044,CH0044,,CH0044,CH0044,Ctra de Meco S/N 28805 Alcalá de Henares,Ctra,de Meco,S/N,28805.0,Alcalá de Henares,470511.0,4484529.0
30,CH0045,Hospital de media y larga estancia,,,,,,,CH0045,CH0045,CH0045,,,,,,,,CH0045,,CH0045,,,,Ctra M-952 (Acceso al Hospital) KM.5 28630 Villa del Prado,Ctra,M-952 (Acceso al Hospital),KM.5,28630.0,Villa del Prado,389267.0,4459585.0
31,CH0046,Hospital de salud mental y tratamiento de toxicomanías,,,,,,,CH0046,CH0046,CH0046,,,CH0046,,,,,CH0046,CH0046,,,CH0046,,"Ctra de Colmenar Viejo K.13,8 28049 Madrid",Ctra,de Colmenar Viejo,"K.13,8",28049.0,Madrid,441708.0,4486097.0
32,CH0047,Hospital de salud mental y tratamiento de toxicomanías,,,,,,,CH0047,CH0047,CH0047,,,,,,,,CH0047,CH0047,,,,CH0047,Calle de los Jardines 1 28350 Ciempozuelos,Calle,de los Jardines,1,28350.0,Ciempozuelos,447244.0,4445277.0
33,CH0049,Hospital general,CH0049,CH0049,CH0049,CH0049,CH0049,CH0049,CH0049,CH0049,CH0049,,CH0049,CH0049,CH0049,CH0049,CH0049,CH0049,CH0049,CH0049,CH0049,,CH0049,CH0049,"Ctra de Colmenar Viejo KM.9,1 28034 Madrid",Ctra,de Colmenar Viejo,"KM.9,1",28034.0,Madrid,440939.0,4482100.0
34,CH0050,Hospital general,CH0050,CH0050,CH0050,CH0050,CH0050,CH0050,CH0050,CH0050,CH0050,CH0050,CH0050,CH0050,CH0050,CH0050,CH0050,CH0050,CH0050,CH0050,CH0050,,CH0050,CH0050,Calle de Serrano 199 28016 Madrid,Calle,de Serrano,199,28016.0,Madrid,442214.0,4478184.0
35,CH0051,Hospital general,,CH0051,CH0051,CH0051,,CH0051,CH0051,CH0051,CH0051,,CH0051,,CH0051,,,,CH0051,CH0051,CH0051,,,,Calle del Maestro Vives 2 28009 Madrid,Calle,del Maestro Vives,2,28009.0,Madrid,443051.0,4474784.0
36,CH0052,Hospital general,CH0052,CH0052,CH0052,CH0052,CH0052,CH0052,CH0052,CH0052,CH0052,,CH0052,CH0052,CH0052,CH0052,CH0052,CH0052,CH0052,CH0052,CH0052,,CH0052,CH0052,Avda Orellana S/N 28911 Leganés,Avda,Orellana,S/N,28911.0,Leganés,434644.0,4463630.0
37,CH0053,Hospital general,CH0053,CH0053,CH0053,CH0053,CH0053,CH0053,CH0053,CH0053,CH0053,,CH0053,CH0053,CH0053,CH0053,CH0053,CH0053,CH0053,CH0053,CH0053,,CH0053,CH0053,Calle del Profesor Martín Lagos s/n 28040 Madrid,Calle,del Profesor Martín Lagos,s/n,28040.0,Madrid,438983.0,4476839.0
38,CH0054,Hospital de media y larga estancia,,,,,,,CH0054,,CH0054,,,,,,,,CH0054,,CH0054,,,,Calle del Puerto de Lumbreras 5 28031 Madrid,Calle,del Puerto de Lumbreras,5,28031.0,Madrid,447452.0,4470239.0
39,CH0057,Hospital de salud mental y tratamiento de toxicomanías,,,,,,,CH0057,,CH0057,,,,,,,,CH0057,CH0057,,,CH0057,,Calle del Doctor Juan José López Ibor 2 28035 Madrid,Calle,del Doctor Juan José López Ibor,2,28035.0,Madrid,438579.0,4480017.0
40,CH0059,Hospital especializado,,CH0059,CH0059,CH0059,CH0059,CH0059,CH0059,,CH0059,,CH0059,,CH0059,,,,CH0059,CH0059,CH0059,,,,Calle de Francisco Silvela 40 28028 Madrid,Calle,de Francisco Silvela,40,28028.0,Madrid,442942.0,4476050.0
41,CH0060,Hospital de salud mental y tratamiento de toxicomanías,,,,,,,CH0060,,,CH0060,,,,,,,CH0060,CH0060,,,,CH0060,Calle Luna 1 28911 Leganés,Calle,Luna,1,28911.0,Leganés,434789.0,4464364.0
42,CH0061,Hospital de salud mental y tratamiento de toxicomanías,,,,,,,CH0061,,,CH0061,,,,,,,CH0061,CH0061,,,CH0061,,Calle de López de Hoyos 259 28043 Madrid,Calle,de López de Hoyos,259,28043.0,Madrid,443891.0,4478682.0
43,CH0062,Hospital de salud mental y tratamiento de toxicomanías,,,,,,,CH0062,CH0062,,CH0062,,,,,,,CH0062,CH0062,,,,CH0062,Calle de Arturo Soria 204 28043 Madrid,Calle,de Arturo Soria,204,28043.0,Madrid,444020.0,4479032.0
44,CH0063,Hospital de salud mental y tratamiento de toxicomanías,,,,,,,CH0063,CH0063,,CH0063,,,,,,,CH0063,CH0063,,,,,Avda de los Poblados 70 28044 Madrid,Avda,de los Poblados,70,28044.0,Madrid,435530.0,4470436.0
45,CH0064,Hospital general,CH0064,CH0064,CH0064,CH0064,CH0064,CH0064,CH0064,CH0064,CH0064,CH0064,CH0064,CH0064,CH0064,CH0064,CH0064,CH0064,,CH0064,CH0064,,CH0064,CH0064,Calle de Modesto Lafuente 14 28010 Madrid,Calle,de Modesto Lafuente,14,28010.0,Madrid,440959.0,4476494.0
46,CH0065,Hospital de salud mental y tratamiento de toxicomanías,,,,,CH0065,,CH0065,,,CH0065,,,,,,,CH0065,CH0065,CH0065,,,,Plaza de Mariano de Cavia 3 28007 Madrid,Plaza,de Mariano de Cavia,3,28007.0,Madrid,442457.0,4473239.0
47,CH0068,Hospital general,CH0068,CH0068,CH0068,CH0068,CH0068,CH0068,CH0068,CH0068,CH0068,CH0068,CH0068,CH0068,CH0068,CH0068,CH0068,,CH0068,CH0068,CH0068,,CH0068,,Calle del Príncipe de Vergara 53 28006 Madrid,Calle,del Príncipe de Vergara,53,28006.0,Madrid,442329.0,4475934.0
48,CH0069,Hospital general,CH0069,CH0069,CH0069,CH0069,CH0069,CH0069,CH0069,CH0069,CH0069,CH0069,CH0069,CH0069,CH0069,CH0069,CH0069,CH0069,,,,,CH0069,CH0069,Calle de Honduras 14 28016 Madrid,Calle,de Honduras,14,28016.0,Madrid,442467.0,4478980.0
49,CH0070,Hospital general,CH0070,CH0070,CH0070,CH0070,CH0070,CH0070,CH0070,CH0070,CH0070,CH0070,CH0070,CH0070,CH0070,CH0070,CH0070,CH0070,,CH0070,CH0070,,CH0070,,Calle de Joaquín Costa 28 28002 Madrid,Calle,de Joaquín Costa,28,28002.0,Madrid,442034.0,4477128.0
50,CH0071,Hospital general,CH0071,CH0071,CH0071,CH0071,CH0071,CH0071,CH0071,CH0071,,,CH0071,CH0071,CH0071,,CH0071,CH0071,CH0071,,,,CH0071,CH0071,Calle de Cartagena 111 28002 Madrid,Calle,de Cartagena,111,28002.0,Madrid,442778.0,4476871.0
51,CH0072,Hospital de media y larga estancia,,,,,,,CH0072,CH0072,CH0072,CH0072,,CH0072,,,,,CH0072,CH0072,CH0072,,CH0072,,Ctra de Colmenar Viejo KM.16 28049 Madrid,Ctra,de Colmenar Viejo,KM.16,28049.0,Madrid,440868.0,4488038.0
52,CH0075,Hospital general,CH0075,CH0075,CH0075,CH0075,CH0075,CH0075,CH0075,CH0075,CH0075,,CH0075,CH0075,CH0075,CH0075,CH0075,CH0075,CH0075,CH0075,CH0075,,CH0075,CH0075,"Ctra de Madrid-Toledo KM.12,500 28905 Getafe",Ctra,de Madrid-Toledo,"KM.12,500",28905.0,Getafe,437027.0,4462721.0
53,CH0076,Otros centros con internamiento,,,CH0076,CH0076,,,CH0076,,,CH0076,,,,,,,CH0076,CH0076,,,CH0076,,Calle de los Pirineos 7 28040 Madrid,Calle,de los Pirineos,7,28040.0,Madrid,439257.0,4478748.0
54,CH0077,Hospital general,CH0077,CH0077,CH0077,CH0077,CH0077,CH0077,CH0077,CH0077,CH0077,CH0077,CH0077,CH0077,,CH0077,CH0077,CH0077,,CH0077,CH0077,,CH0077,CH0077,Avda de Valladolid 83 28008 Madrid,Avda,de Valladolid,83,28008.0,Madrid,437752.0,4476091.0
55,CH0079,Hospital general,CH0079,CH0079,CH0079,CH0079,CH0079,,CH0079,CH0079,CH0079,,CH0079,CH0079,,CH0079,CH0079,,,,,,CH0079,,Avda del Ventisquero de la Condesa 42 28035 Madrid,Avda,del Ventisquero de la Condesa,42,28035.0,Madrid,439247.0,4482814.0
56,CH0080,Hospital general,CH0080,CH0080,CH0080,CH0080,CH0080,CH0080,CH0080,CH0080,CH0080,,CH0080,CH0080,CH0080,CH0080,CH0080,CH0080,CH0080,CH0080,CH0080,,CH0080,CH0080,Calle Budapest 1 28922 Alcorcón,Calle,Budapest,1,28922.0,Alcorcón,429031.0,4466866.0
57,CH0081,Hospital general,CH0081,CH0081,CH0081,CH0081,CH0081,CH0081,CH0081,CH0081,CH0081,CH0081,CH0081,CH0081,CH0081,CH0081,CH0081,CH0081,CH0081,CH0081,CH0081,,CH0081,CH0081,Avda de Montepríncipe 25 28660 Boadilla del Monte,Avda,de Montepríncipe,25,28660.0,Boadilla del Monte,428358.0,4474096.0
58,CH0083,Hospital especializado,CH0083,CH0083,CH0083,CH0083,CH0083,CH0083,CH0083,CH0083,CH0083,CH0083,CH0083,CH0083,CH0083,CH0083,CH0083,,CH0083,,CH0083,,CH0083,CH0083,Calle de Gómez Hemans 2 28033 Madrid,Calle,de Gómez Hemans,2,28033.0,Madrid,443492.0,4480206.0
59,CH0084,Hospital general,CH0084,CH0084,CH0084,CH0084,CH0084,CH0084,CH0084,CH0084,CH0084,CH0084,CH0084,CH0084,CH0084,CH0084,CH0084,CH0084,,CH0084,CH0084,,CH0084,CH0084,Calle de Estambul 30 28922 Alcorcón,Calle,de Estambul,30,28922.0,Alcorcón,427906.0,4466180.0
60,CH0086,Hospital general,CH0086,CH0086,CH0086,CH0086,CH0086,CH0086,CH0086,CH0086,CH0086,CH0086,CH0086,CH0086,CH0086,CH0086,CH0086,CH0086,CH0086,CH0086,CH0086,,CH0086,CH0086,Cmno del Molino 2 28942 Fuenlabrada,Cmno,del Molino,2,28942.0,Fuenlabrada,430770.0,4459818.0
61,CH0087,Hospital general,CH0087,CH0087,CH0087,CH0087,CH0087,CH0087,CH0087,CH0087,CH0087,CH0087,CH0087,CH0087,CH0087,CH0087,CH0087,CH0087,CH0087,CH0087,CH0087,,CH0087,CH0087,Avda Castillo de Olivares S/N 28250 Torrelodones,Avda,Castillo de Olivares,S/N,28250.0,Torrelodones,421671.0,4491496.0
62,CH0088,Hospital general,CH0088,CH0088,CH0088,CH0088,CH0088,CH0088,CH0088,CH0088,CH0088,CH0088,CH0088,CH0088,,,CH0088,CH0088,,CH0088,CH0088,,CH0088,CH0088,"Ctra de M-501 (De Alcorcón a Plasencia) KM.17,900 28690 Brunete",Ctra,de M-501 (De Alcorcón a Plasencia),"KM.17,900",28690.0,Brunete,415227.0,4472533.0
63,CH0089,Hospital general,CH0089,CH0089,CH0089,CH0089,CH0089,CH0089,CH0089,CH0089,CH0089,CH0089,CH0089,CH0089,CH0089,CH0089,CH0089,CH0089,,CH0089,CH0089,,CH0089,CH0089,Avda de Francisco Pi y Margall 81 28050 Madrid,Avda,de Francisco Pi y Margall,81,28050.0,Madrid,443855.0,4482604.0
64,CH0091,Hospital general,CH0091,CH0091,CH0091,CH0091,CH0091,CH0091,CH0091,CH0091,CH0091,CH0091,CH0091,CH0091,CH0091,CH0091,CH0091,CH0091,CH0091,CH0091,CH0091,,CH0091,CH0091,Calle Diego de Velázquez 1 28223 Pozuelo de Alarcón,Calle,Diego de Velázquez,1,28223.0,Pozuelo de Alarcón,433437.0,4472750.0
65,CH0092,Hospital general,CH0092,CH0092,CH0092,CH0092,CH0092,CH0092,CH0092,CH0092,CH0092,CH0092,CH0092,CH0092,CH0092,CH0092,CH0092,CH0092,CH0092,CH0092,CH0092,,CH0092,CH0092,Calle de La Salle 12 28023 Madrid,Calle,de La Salle,12,28023.0,Madrid,433613.0,4479819.0
66,CH0093,Hospital general,CH0093,CH0093,CH0093,CH0093,CH0093,CH0093,CH0093,CH0093,CH0093,CH0093,CH0093,CH0093,CH0093,CH0093,CH0093,CH0093,CH0093,CH0093,CH0093,,CH0093,CH0093,Calle de Oña 10 28050 Madrid,Calle,de Oña,10,28050.0,Madrid,443533.0,4482283.0
67,CH0094,Hospital de media y larga estancia,,,,,,,CH0094,,CH0094,,,CH0094,CH0094,,,CH0094,CH0094,,CH0094,,,,Calle del Concejal Francisco José Jiménez Martín 128 28047 Madrid,Calle,del Concejal Francisco José Jiménez Martín,128,28047.0,Madrid,436624.0,4472494.0
68,CH0095,Hospital general,CH0095,CH0095,CH0095,CH0095,CH0095,CH0095,CH0095,CH0095,CH0095,,CH0095,CH0095,CH0095,CH0095,CH0095,CH0095,CH0095,CH0095,CH0095,,CH0095,,Avda Reyes Católicos 21 28342 Valdemoro,Avda,Reyes Católicos,21,28342.0,Valdemoro,440688.0,4449956.0
69,CH0096,Hospital general,CH0096,CH0096,CH0096,CH0096,CH0096,CH0096,CH0096,CH0096,CH0096,,CH0096,CH0096,CH0096,CH0096,CH0096,CH0096,CH0096,CH0096,CH0096,,CH0096,CH0096,Avda de Marie Curie s/n 28822 Coslada,Avda,de Marie Curie,s/n,28822.0,Coslada,454782.0,4474309.0
70,CH0097,Hospital general,CH0097,CH0097,CH0097,CH0097,CH0097,CH0097,CH0097,CH0097,CH0097,,CH0097,CH0097,CH0097,CH0097,CH0097,CH0097,CH0097,CH0097,CH0097,,CH0097,CH0097,Paseo Europa 34 28702 San Sebastián de los Reyes,Paseo,Europa,34,28702.0,San Sebastián de los Reyes,448280.0,4489909.0
71,CH0098,Hospital general,CH0098,CH0098,CH0098,CH0098,CH0098,CH0098,CH0098,CH0098,CH0098,,CH0098,CH0098,CH0098,CH0098,CH0098,CH0098,CH0098,CH0098,CH0098,,CH0098,,Avda 9 de Junio 2 28981 Parla,Avda,9 de Junio,2,28981.0,Parla,433386.0,4452379.0
72,CH0099,Hospital general,CH0099,CH0099,CH0099,CH0099,CH0099,CH0099,CH0099,CH0099,CH0099,CH0099,CH0099,CH0099,CH0099,CH0099,CH0099,CH0099,CH0099,CH0099,CH0099,,CH0099,CH0099,Avda Amazonas Central S/N 28300 Aranjuez,Avda,Amazonas Central,S/N,28300.0,Aranjuez,447881.0,4434225.0
73,CH0100,Hospital general,CH0100,CH0100,CH0100,CH0100,CH0100,CH0100,CH0100,CH0100,CH0100,,CH0100,CH0100,CH0100,CH0100,CH0100,CH0100,CH0100,CH0100,CH0100,,CH0100,CH0100,Ronda del Sur 10 28500 Arganda del Rey,Ronda,del Sur,10,28500.0,Arganda del Rey,461132.0,4460780.0
74,CH0101,Hospital general,CH0101,CH0101,CH0101,CH0101,CH0101,CH0101,CH0101,CH0101,CH0101,,CH0101,CH0101,CH0101,CH0101,CH0101,CH0101,CH0101,CH0101,CH0101,,CH0101,,Avda de la Gran Vía del Este 80 28031 Madrid,Avda,de la Gran Vía del Este,80,28031.0,Madrid,447526.0,4470725.0
75,CH0102,Hospital general,CH0102,CH0102,CH0102,CH0102,CH0102,CH0102,CH0102,CH0102,CH0102,,CH0102,CH0102,CH0102,CH0102,CH0102,CH0102,CH0102,CH0102,CH0102,,CH0102,CH0102,Calle Manuel de Falla 1 28222 Majadahonda,Calle,Manuel de Falla,1,28222.0,Majadahonda,427078.0,4477944.0
76,CH0103,Hospital de salud mental y tratamiento de toxicomanías,,,,,,,CH0103,CH0103,CH0103,CH0103,,,,,,,CH0103,CH0103,,,,,"Ctra de la Coruña KM.50,300 28440 Guadarrama",Ctra,de la Coruña,"KM.50,300",28440.0,Guadarrama,406004.0,4503075.0
77,CH0104,Hospital general,CH0104,CH0104,CH0104,CH0104,CH0104,CH0104,CH0104,CH0104,CH0104,,CH0104,CH0104,CH0104,CH0104,CH0104,CH0104,CH0104,CH0104,CH0104,,CH0104,,Calle Mateo Inurria 1 28850 Torrejón de Ardoz,Calle,Mateo Inurria,1,28850.0,Torrejón de Ardoz,462953.0,4479438.0
78,CH0105,Hospital general,CH0105,CH0105,CH0105,CH0105,CH0105,CH0105,CH0105,CH0105,CH0105,,CH0105,CH0105,CH0105,CH0105,CH0105,CH0105,CH0105,CH0105,CH0105,,CH0105,,Calle Gladiolo S/N 28933 Móstoles,Calle,Gladiolo,S/N,28933.0,Móstoles,426310.0,4465849.0
79,CH0106,Hospital general,CH0106,CH0106,CH0106,CH0106,CH0106,CH0106,CH0106,CH0106,CH0106,,CH0106,CH0106,CH0106,CH0106,CH0106,CH0106,CH0106,CH0106,CH0106,,CH0106,,"Ctra de Alpedrete M-608, KM. 41 28400 Collado Villalba",Ctra,de Alpedrete,"M-608, KM. 41",28400.0,Collado Villalba,414788.0,4500551.0
80,CH0107,Hospital general,CH0107,CH0107,CH0107,CH0107,CH0107,CH0107,CH0107,CH0107,CH0107,CH0107,CH0107,CH0107,CH0107,CH0107,CH0107,CH0107,CH0107,CH0107,CH0107,,CH0107,CH0107,Avda de Carlos V 70 28938 Móstoles,Avda,de Carlos V,70,28938.0,Móstoles,426846.0,4462927.0
81,CH0109,Otros centros con internamiento,,CH0109,CH0109,CH0109,CH0109,,CH0109,,,CH0109,,CH0109,,,CH0109,,,,,,CH0109,,Calle Santiago 14 28801 Alcalá de Henares,Calle,Santiago,14,28801.0,Alcalá de Henares,468868.0,4481434.0
