Column,centro_nro_registro,centro_tipo,alergologia,cardiologia,cirugia_mayor_ambulatoria,cirugia_menor_ambulatoria,dermatologia,endocrinologia,enfermeria,farmacia,fisioterapia,medicina_general,neumologia,neurologia,nutricion_y_dietetica,oncologia,otorrinolaringologia,pediatria,psicologia_clinica,psiquiatria,rehabilitacion,urgencias,vacunacion,direccion_completa,direccion_vial_tipo,direccion_vial_nombre,direccion_vial_nro,direccion_codigo_postal,municipio_nombre,localizacion_coordenada_x,localizacion_coordenada_y
19,CH0030,Otros centros con internamiento,alergologia,cardiologia,cirugiamayoriaambulatoria,cirugiamenorambulatoria,dermatologia,endocrinologia,enfermeria,,fisioterapia,medicinageneral,neumologia,neurologia,,,otorrinolaringologia,pediatria,,psiquiatria,,urgencias,,Calle de San Bernabé 13 28005 Madrid,Calle,de San Bernabé,13,28005,Madrid,439426,"4473404"
20,CH0031,Hospital general,alergologia,cardiologia,,,dermatologia,endocrinologia,,farmacia,fisioterapia,,neumologia,neurologia,,oncologia,otorrinolaringologia,,,psiquiatria,rehabilitacion,urgencias,,Plaza del Conde del Valle de Súchil 16 28015 Madrid,Plaza,del Conde del Valle de Súchil,16,28015,Madrid,440050,"4475873"
22,CH0034,Hospital general,alergologia,cardiologia,cirugiamayoriaambulatoria,cirugiamenorambulatoria,dermatologia,endocrinologia,enfermeria,farmacia,fisioterapia,,neumologia,neurologia,nutricionydietectica,oncologia,otorrinolaringologia,pediatria,psicologiaclinica,psiquiatria,rehabilitacion,urgencias,vacunacion,Calle del Doctor Esquerdo 46 28007 Madrid,Calle,del Doctor Esquerdo,46,28007,Madrid,443166,"4474478"
23,CH0037,Hospital especializado,alergologia,cardiologia,cirugiamayoriaambulatoria,cirugiamenorambulatoria,dermatologia,,enfermeria,farmacia,fisioterapia,,,,nutricionydietectica,oncologia,otorrinolaringologia,pediatria,psicologiaclinica,psiquiatria,rehabilitacion,urgencias,vacunacion,Avda de Menéndez Pelayo 65 28009 Madrid,Avda,de Menéndez Pelayo,65,28009,Madrid,442574,"4473916"
24,CH0038,Hospital de media y larga estancia,,,,,,,enfermeria,farmacia,fisioterapia,medicinageneral,,neurologia,nutricionydietectica,,,,psicologiaclinica,psiquiatria,rehabilitacion,,,Calle del Pinar de San José 98 28054 Madrid,Calle,del Pinar de San José,98,28054,Madrid,434227,"4468202"
25,CH0039,Hospital general,alergologia,cardiologia,cirugiamayoriaambulatoria,cirugiamenorambulatoria,dermatologia,endocrinologia,enfermeria,farmacia,fisioterapia,medicinageneral,neumologia,neurologia,nutricionydietectica,oncologia,otorrinolaringologia,pediatria,psicologiaclinica,psiquiatria,,urgencias,vacunacion,Calle de La Maso 38 28034 Madrid,Calle,de La Maso,38,28034,Madrid,439378,"4482327"
26,CH0041,Hospital general,alergologia,cardiologia,cirugiamayoriaambulatoria,cirugiamenorambulatoria,dermatologia,endocrinologia,enfermeria,farmacia,fisioterapia,,neumologia,neurologia,nutricionydietectica,oncologia,otorrinolaringologia,pediatria,psicologiaclinica,psiquiatria,rehabilitacion,urgencias,vacunacion,Paseo de la Castellana 261 28046 Madrid,Paseo,de la Castellana,261,28046,Madrid,441826,"4481289"
27,CH0042,Hospital especializado,,cardiologia,cirugiamayoriaambulatoria,cirugiamenorambulatoria,,,enfermeria,farmacia,fisioterapia,medicinageneral,,neurologia,,,otorrinolaringologia,,psicologiaclinica,psiquiatria,rehabilitacion,urgencias,,Calle de Joaquín de Cárdenas 2 28823 Coslada,Calle,de Joaquín de Cárdenas,2,28823,Coslada,454922,"4476355"
28,CH0043,Hospital de media y larga estancia,,,,,,,enfermeria,farmacia,fisioterapia,,,,,,,,,,rehabilitacion,,,Paseo Molino del Rey 2 28440 Guadarrama,Paseo,Molino del Rey,2,28440,Guadarrama,408212,"4502637"
32,CH0047,Hospital de salud mental y tratamiento de toxicomanías,,,,,,,enfermeria,farmacia,fisioterapia,,,,,,,,psicologiaclinica,psiquiatria,,,vacunacion,Calle de los Jardines 1 28350 Ciempozuelos,Calle,de los Jardines,1,28350,Ciempozuelos,447244,"4445277"
34,CH0050,Hospital general,alergologia,cardiologia,cirugiamayoriaambulatoria,cirugiamenorambulatoria,dermatologia,endocrinologia,enfermeria,farmacia,fisioterapia,medicinageneral,neumologia,neurologia,nutricionydietectica,oncologia,otorrinolaringologia,pediatria,psicologiaclinica,psiquiatria,rehabilitacion,urgencias,vacunacion,Calle de Serrano 199 28016 Madrid,Calle,de Serrano,199,28016,Madrid,442214,"4478184"
35,CH0051,Hospital general,,cardiologia,cirugiamayoriaambulatoria,cirugiamenorambulatoria,,endocrinologia,enfermeria,farmacia,fisioterapia,,neumologia,,nutricionydietectica,,,,psicologiaclinica,psiquiatria,rehabilitacion,,,Calle del Maestro Vives 2 28009 Madrid,Calle,del Maestro Vives,2,28009,Madrid,443051,"4474784"
38,CH0054,Hospital de media y larga estancia,,,,,,,enfermeria,,fisioterapia,,,,,,,,psicologiaclinica,,rehabilitacion,,,Calle del Puerto de Lumbreras 5 28031 Madrid,Calle,del Puerto de Lumbreras,5,28031,Madrid,447452,"4470239"
39,CH0057,Hospital de salud mental y tratamiento de toxicomanías,,,,,,,enfermeria,,fisioterapia,,,,,,,,psicologiaclinica,psiquiatria,,urgencias,,Calle del Doctor Juan José López Ibor 2 28035 Madrid,Calle,del Doctor Juan José López Ibor,2,28035,Madrid,438579,"4480017"
40,CH0059,Hospital especializado,,cardiologia,cirugiamayoriaambulatoria,cirugiamenorambulatoria,dermatologia,endocrinologia,enfermeria,,fisioterapia,,neumologia,,nutricionydietectica,,,,psicologiaclinica,psiquiatria,rehabilitacion,,,Calle de Francisco Silvela 40 28028 Madrid,Calle,de Francisco Silvela,40,28028,Madrid,442942,"4476050"
41,CH0060,Hospital de salud mental y tratamiento de toxicomanías,,,,,,,enfermeria,,,medicinageneral,,,,,,,psicologiaclinica,psiquiatria,,,vacunacion,Calle Luna 1 28911 Leganés,Calle,Luna,1,28911,Leganés,434789,"4464364"
42,CH0061,Hospital de salud mental y tratamiento de toxicomanías,,,,,,,enfermeria,,,medicinageneral,,,,,,,psicologiaclinica,psiquiatria,,urgencias,,Calle de López de Hoyos 259 28043 Madrid,Calle,de López de Hoyos,259,28043,Madrid,443891,"4478682"
43,CH0062,Hospital de salud mental y tratamiento de toxicomanías,,,,,,,enfermeria,farmacia,,medicinageneral,,,,,,,psicologiaclinica,psiquiatria,,,vacunacion,Calle de Arturo Soria 204 28043 Madrid,Calle,de Arturo Soria,204,28043,Madrid,444020,"4479032"
44,CH0063,Hospital de salud mental y tratamiento de toxicomanías,,,,,,,enfermeria,farmacia,,medicinageneral,,,,,,,psicologiaclinica,psiquiatria,,,,Avda de los Poblados 70 28044 Madrid,Avda,de los Poblados,70,28044,Madrid,435530,"4470436"
45,CH0064,Hospital general,alergologia,cardiologia,cirugiamayoriaambulatoria,cirugiamenorambulatoria,dermatologia,endocrinologia,enfermeria,farmacia,fisioterapia,medicinageneral,neumologia,neurologia,nutricionydietectica,oncologia,otorrinolaringologia,pediatria,,psiquiatria,rehabilitacion,urgencias,vacunacion,Calle de Modesto Lafuente 14 28010 Madrid,Calle,de Modesto Lafuente,14,28010,Madrid,440959,"4476494"
46,CH0065,Hospital de salud mental y tratamiento de toxicomanías,,,,,dermatologia,,enfermeria,,,medicinageneral,,,,,,,psicologiaclinica,psiquiatria,rehabilitacion,,,Plaza de Mariano de Cavia 3 28007 Madrid,Plaza,de Mariano de Cavia,3,28007,Madrid,442457,"4473239"
47,CH0068,Hospital general,alergologia,cardiologia,cirugiamayoriaambulatoria,cirugiamenorambulatoria,dermatologia,endocrinologia,enfermeria,farmacia,fisioterapia,medicinageneral,neumologia,neurologia,nutricionydietectica,oncologia,otorrinolaringologia,,psicologiaclinica,psiquiatria,rehabilitacion,urgencias,,Calle del Príncipe de Vergara 53 28006 Madrid,Calle,del Príncipe de Vergara,53,28006,Madrid,442329,"4475934"
48,CH0069,Hospital general,alergologia,cardiologia,cirugiamayoriaambulatoria,cirugiamenorambulatoria,dermatologia,endocrinologia,enfermeria,farmacia,fisioterapia,medicinageneral,neumologia,neurologia,nutricionydietectica,oncologia,otorrinolaringologia,pediatria,,,,urgencias,vacunacion,Calle de Honduras 14 28016 Madrid,Calle,de Honduras,14,28016,Madrid,442467,"4478980"
49,CH0070,Hospital general,alergologia,cardiologia,cirugiamayoriaambulatoria,cirugiamenorambulatoria,dermatologia,endocrinologia,enfermeria,farmacia,fisioterapia,medicinageneral,neumologia,neurologia,nutricionydietectica,oncologia,otorrinolaringologia,pediatria,,psiquiatria,rehabilitacion,urgencias,,Calle de Joaquín Costa 28 28002 Madrid,Calle,de Joaquín Costa,28,28002,Madrid,442034,"4477128"
50,CH0071,Hospital general,alergologia,cardiologia,cirugiamayoriaambulatoria,cirugiamenorambulatoria,dermatologia,endocrinologia,enfermeria,farmacia,,,neumologia,neurologia,nutricionydietectica,,otorrinolaringologia,pediatria,psicologiaclinica,,,urgencias,vacunacion,Calle de Cartagena 111 28002 Madrid,Calle,de Cartagena,111,28002,Madrid,442778,"4476871"
53,CH0076,Otros centros con internamiento,,,cirugiamayoriaambulatoria,cirugiamenorambulatoria,,,enfermeria,,,medicinageneral,,,,,,,psicologiaclinica,psiquiatria,,urgencias,,Calle de los Pirineos 7 28040 Madrid,Calle,de los Pirineos,7,28040,Madrid,439257,"4478748"
54,CH0077,Hospital general,alergologia,cardiologia,cirugiamayoriaambulatoria,cirugiamenorambulatoria,dermatologia,endocrinologia,enfermeria,farmacia,fisioterapia,medicinageneral,neumologia,neurologia,,oncologia,otorrinolaringologia,pediatria,,psiquiatria,rehabilitacion,urgencias,vacunacion,Avda de Valladolid 83 28008 Madrid,Avda,de Valladolid,83,28008,Madrid,437752,"4476091"
55,CH0079,Hospital general,alergologia,cardiologia,cirugiamayoriaambulatoria,cirugiamenorambulatoria,dermatologia,,enfermeria,farmacia,fisioterapia,,neumologia,neurologia,,oncologia,otorrinolaringologia,,,,,urgencias,,Avda del Ventisquero de la Condesa 42 28035 Madrid,Avda,del Ventisquero de la Condesa,42,28035,Madrid,439247,"4482814"
56,CH0080,Hospital general,alergologia,cardiologia,cirugiamayoriaambulatoria,cirugiamenorambulatoria,dermatologia,endocrinologia,enfermeria,farmacia,fisioterapia,,neumologia,neurologia,nutricionydietectica,oncologia,otorrinolaringologia,pediatria,psicologiaclinica,psiquiatria,rehabilitacion,urgencias,vacunacion,Calle Budapest 1 28922 Alcorcón,Calle,Budapest,1,28922,Alcorcón,429031,"4466866"
57,CH0081,Hospital general,alergologia,cardiologia,cirugiamayoriaambulatoria,cirugiamenorambulatoria,dermatologia,endocrinologia,enfermeria,farmacia,fisioterapia,medicinageneral,neumologia,neurologia,nutricionydietectica,oncologia,otorrinolaringologia,pediatria,psicologiaclinica,psiquiatria,rehabilitacion,urgencias,vacunacion,Avda de Montepríncipe 25 28660 Boadilla del Monte,Avda,de Montepríncipe,25,28660,Boadilla del Monte,428358,"4474096"
58,CH0083,Hospital especializado,alergologia,cardiologia,cirugiamayoriaambulatoria,cirugiamenorambulatoria,dermatologia,endocrinologia,enfermeria,farmacia,fisioterapia,medicinageneral,neumologia,neurologia,nutricionydietectica,oncologia,otorrinolaringologia,,psicologiaclinica,,rehabilitacion,urgencias,vacunacion,Calle de Gómez Hemans 2 28033 Madrid,Calle,de Gómez Hemans,2,28033,Madrid,443492,"4480206"
59,CH0084,Hospital general,alergologia,cardiologia,cirugiamayoriaambulatoria,cirugiamenorambulatoria,dermatologia,endocrinologia,enfermeria,farmacia,fisioterapia,medicinageneral,neumologia,neurologia,nutricionydietectica,oncologia,otorrinolaringologia,pediatria,,psiquiatria,rehabilitacion,urgencias,vacunacion,Calle de Estambul 30 28922 Alcorcón,Calle,de Estambul,30,28922,Alcorcón,427906,"4466180"
60,CH0086,Hospital general,alergologia,cardiologia,cirugiamayoriaambulatoria,cirugiamenorambulatoria,dermatologia,endocrinologia,enfermeria,farmacia,fisioterapia,medicinageneral,neumologia,neurologia,nutricionydietectica,oncologia,otorrinolaringologia,pediatria,psicologiaclinica,psiquiatria,rehabilitacion,urgencias,vacunacion,Cmno del Molino 2 28942 Fuenlabrada,Cmno,del Molino,2,28942,Fuenlabrada,430770,"4459818"
63,CH0089,Hospital general,alergologia,cardiologia,cirugiamayoriaambulatoria,cirugiamenorambulatoria,dermatologia,endocrinologia,enfermeria,farmacia,fisioterapia,medicinageneral,neumologia,neurologia,nutricionydietectica,oncologia,otorrinolaringologia,pediatria,,psiquiatria,rehabilitacion,urgencias,vacunacion,Avda de Francisco Pi y Margall 81 28050 Madrid,Avda,de Francisco Pi y Margall,81,28050,Madrid,443855,"4482604"
64,CH0091,Hospital general,alergologia,cardiologia,cirugiamayoriaambulatoria,cirugiamenorambulatoria,dermatologia,endocrinologia,enfermeria,farmacia,fisioterapia,medicinageneral,neumologia,neurologia,nutricionydietectica,oncologia,otorrinolaringologia,pediatria,psicologiaclinica,psiquiatria,rehabilitacion,urgencias,vacunacion,Calle Diego de Velázquez 1 28223 Pozuelo de Alarcón,Calle,Diego de Velázquez,1,28223,Pozuelo de Alarcón,433437,"4472750"
65,CH0092,Hospital general,alergologia,cardiologia,cirugiamayoriaambulatoria,cirugiamenorambulatoria,dermatologia,endocrinologia,enfermeria,farmacia,fisioterapia,medicinageneral,neumologia,neurologia,nutricionydietectica,oncologia,otorrinolaringologia,pediatria,psicologiaclinica,psiquiatria,rehabilitacion,urgencias,vacunacion,Calle de La Salle 12 28023 Madrid,Calle,de La Salle,12,28023,Madrid,433613,"4479819"
66,CH0093,Hospital general,alergologia,cardiologia,cirugiamayoriaambulatoria,cirugiamenorambulatoria,dermatologia,endocrinologia,enfermeria,farmacia,fisioterapia,medicinageneral,neumologia,neurologia,nutricionydietectica,oncologia,otorrinolaringologia,pediatria,psicologiaclinica,psiquiatria,rehabilitacion,urgencias,vacunacion,Calle de Oña 10 28050 Madrid,Calle,de Oña,10,28050,Madrid,443533,"4482283"
67,CH0094,Hospital de media y larga estancia,,,,,,,enfermeria,,fisioterapia,,,neurologia,nutricionydietectica,,,pediatria,psicologiaclinica,,rehabilitacion,,,Calle del Concejal Francisco José Jiménez Martín 128 28047 Madrid,Calle,del Concejal Francisco José Jiménez Martín,128,28047,Madrid,436624,"4472494"
68,CH0095,Hospital general,alergologia,cardiologia,cirugiamayoriaambulatoria,cirugiamenorambulatoria,dermatologia,endocrinologia,enfermeria,farmacia,fisioterapia,,neumologia,neurologia,nutricionydietectica,oncologia,otorrinolaringologia,pediatria,psicologiaclinica,psiquiatria,rehabilitacion,urgencias,,Avda Reyes Católicos 21 28342 Valdemoro,Avda,Reyes Católicos,21,28342,Valdemoro,440688,"4449956"
70,CH0097,Hospital general,alergologia,cardiologia,cirugiamayoriaambulatoria,cirugiamenorambulatoria,dermatologia,endocrinologia,enfermeria,farmacia,fisioterapia,,neumologia,neurologia,nutricionydietectica,oncologia,otorrinolaringologia,pediatria,psicologiaclinica,psiquiatria,rehabilitacion,urgencias,vacunacion,Paseo Europa 34 28702 San Sebastián de los Reyes,Paseo,Europa,34,28702,San Sebastián de los Reyes,448280,"4489909"
71,CH0098,Hospital general,alergologia,cardiologia,cirugiamayoriaambulatoria,cirugiamenorambulatoria,dermatologia,endocrinologia,enfermeria,farmacia,fisioterapia,,neumologia,neurologia,nutricionydietectica,oncologia,otorrinolaringologia,pediatria,psicologiaclinica,psiquiatria,rehabilitacion,urgencias,,Avda 9 de Junio 2 28981 Parla,Avda,9 de Junio,2,28981,Parla,433386,"4452379"
73,CH0100,Hospital general,alergologia,cardiologia,cirugiamayoriaambulatoria,cirugiamenorambulatoria,dermatologia,endocrinologia,enfermeria,farmacia,fisioterapia,,neumologia,neurologia,nutricionydietectica,oncologia,otorrinolaringologia,pediatria,psicologiaclinica,psiquiatria,rehabilitacion,urgencias,vacunacion,Ronda del Sur 10 28500 Arganda del Rey,Ronda,del Sur,10,28500,Arganda del Rey,461132,"4460780"
74,CH0101,Hospital general,alergologia,cardiologia,cirugiamayoriaambulatoria,cirugiamenorambulatoria,dermatologia,endocrinologia,enfermeria,farmacia,fisioterapia,,neumologia,neurologia,nutricionydietectica,oncologia,otorrinolaringologia,pediatria,psicologiaclinica,psiquiatria,rehabilitacion,urgencias,,Avda de la Gran Vía del Este 80 28031 Madrid,Avda,de la Gran Vía del Este,80,28031,Madrid,447526,"4470725"
75,CH0102,Hospital general,alergologia,cardiologia,cirugiamayoriaambulatoria,cirugiamenorambulatoria,dermatologia,endocrinologia,enfermeria,farmacia,fisioterapia,,neumologia,neurologia,nutricionydietectica,oncologia,otorrinolaringologia,pediatria,psicologiaclinica,psiquiatria,rehabilitacion,urgencias,vacunacion,Calle Manuel de Falla 1 28222 Majadahonda,Calle,Manuel de Falla,1,28222,Majadahonda,427078,"4477944"
77,CH0104,Hospital general,alergologia,cardiologia,cirugiamayoriaambulatoria,cirugiamenorambulatoria,dermatologia,endocrinologia,enfermeria,farmacia,fisioterapia,,neumologia,neurologia,nutricionydietectica,oncologia,otorrinolaringologia,pediatria,psicologiaclinica,psiquiatria,rehabilitacion,urgencias,,Calle Mateo Inurria 1 28850 Torrejón de Ardoz,Calle,Mateo Inurria,1,28850,Torrejón de Ardoz,462953,"4479438"
80,CH0107,Hospital general,alergologia,cardiologia,cirugiamayoriaambulatoria,cirugiamenorambulatoria,dermatologia,endocrinologia,enfermeria,farmacia,fisioterapia,medicinageneral,neumologia,neurologia,nutricionydietectica,oncologia,otorrinolaringologia,pediatria,psicologiaclinica,psiquiatria,rehabilitacion,urgencias,vacunacion,Avda de Carlos V 70 28938 Móstoles,Avda,de Carlos V,70,28938,Móstoles,426846,"4462927"
81,CH0109,Otros centros con internamiento,,cardiologia,cirugiamayoriaambulatoria,cirugiamenorambulatoria,dermatologia,,enfermeria,,,medicinageneral,,neurologia,,,otorrinolaringologia,,,,,urgencias,,Calle Santiago 14 28801 Alcalá de Henares,Calle,Santiago,14,28801,Alcalá de Henares,468868,"4481434"
82,CH0110,Hospital general,alergologia,cardiologia,cirugiamayoriaambulatoria,cirugiamenorambulatoria,dermatologia,endocrinologia,enfermeria,farmacia,fisioterapia,medicinageneral,neumologia,neurologia,nutricionydietectica,oncologia,otorrinolaringologia,pediatria,psicologiaclinica,psiquiatria,rehabilitacion,urgencias,vacunacion,Calle del Marquesado de Santa Marta 1 28022 Madrid,Calle,del Marquesado de Santa Marta,1,28022,Madrid,446969,"4477663"
83,CH0111,Hospital de salud mental y tratamiento de toxicomanías,,,,,,,enfermeria,farmacia,fisioterapia,,,,,,,,psicologiaclinica,psiquiatria,,,vacunacion,Calle Aragón 17 28913 Leganés,Calle,Aragón,17,28913,Leganés,434108,"4464830"
84,CH0113,Hospital especializado,,,cirugiamayoriaambulatoria,cirugiamenorambulatoria,,,enfermeria,farmacia,fisioterapia,,,neurologia,,,,,psicologiaclinica,,rehabilitacion,urgencias,,Paseo de la Habana 83 28036 Madrid,Paseo,de la Habana,83,28036,Madrid,442228,"4478721"
85,CH0115,Otros centros con internamiento,,,,,,endocrinologia,enfermeria,,fisioterapia,,neumologia,,nutricionydietectica,,,,psicologiaclinica,,rehabilitacion,,,Avda de Manuel Fraga Iribarne 2 28055 Madrid,Avda,de Manuel Fraga Iribarne,2,28055,Madrid,448407,"4482138"
86,CH0116,Hospital general,alergologia,cardiologia,cirugiamayoriaambulatoria,,dermatologia,endocrinologia,enfermeria,farmacia,fisioterapia,medicinageneral,neumologia,neurologia,,oncologia,otorrinolaringologia,pediatria,,,rehabilitacion,urgencias,vacunacion,Avda Constitución 249 28850 Torrejón de Ardoz,Avda,Constitución,249,28850,Torrejón de Ardoz,459718,"4478560"
87,CH0117,Hospital general,alergologia,cardiologia,cirugiamayoriaambulatoria,cirugiamenorambulatoria,dermatologia,endocrinologia,enfermeria,farmacia,fisioterapia,medicinageneral,neumologia,neurologia,nutricionydietectica,oncologia,otorrinolaringologia,pediatria,,psiquiatria,rehabilitacion,urgencias,vacunacion,Avda de José Hierro 94 28521 Rivas-Vaciamadrid,Avda,de José Hierro,94,28521,Rivas-Vaciamadrid,455400,"4466090"
88,CH0118,Hospital de media y larga estancia,,,,,,endocrinologia,enfermeria,,fisioterapia,medicinageneral,neumologia,neurologia,nutricionydietectica,,,,psicologiaclinica,psiquiatria,rehabilitacion,,,Calle de las Cerilleras 7 28054 Madrid,Calle,de las Cerilleras,7,28054,Madrid,438237,"4469300"
89,CH0119,Hospital general,alergologia,cardiologia,cirugiamayoriaambulatoria,cirugiamenorambulatoria,dermatologia,endocrinologia,enfermeria,farmacia,fisioterapia,medicinageneral,neumologia,neurologia,nutricionydietectica,oncologia,otorrinolaringologia,pediatria,,psiquiatria,rehabilitacion,urgencias,vacunacion,Calle de Cobos de Segovia 4 28005 Madrid,Calle,de Cobos de Segovia,4,28005,Madrid,438947,"4473183"
90,CS0001,Centro de reproducción humana asistida,,,,cirugiamenorambulatoria,,,enfermeria,,,,,,,,,,,,,,,Calle de Joaquín María López 44 28015 Madrid,Calle,de Joaquín María López,44,28015,Madrid,439447,"4476593"
91,CS0011,Centro de reconocimiento,,,,,,,,,,medicinageneral,,,,,,,,,,,,Calle de Francisco Silvela 54.0 28028 Madrid,Calle,de Francisco Silvela,54,28028,Madrid,442816,"4476257"
92,CS0018,Centro de interrupción voluntaria del embarazo,,,cirugiamayoriaambulatoria,cirugiamenorambulatoria,,,enfermeria,,,medicinageneral,,,,,,,,psiquiatria,,,,Calle de Alonso Saavedra 29 28033 Madrid,Calle,de Alonso Saavedra,29,28033,Madrid,,
93,CS0020,Centro de interrupción voluntaria del embarazo,,,,,,,enfermeria,,,medicinageneral,,,,,,,,,,,,Calle de Toledo 135 28005 Madrid,Calle,de Toledo,135,28005,Madrid,439586,"4472972"
95,CS0030,Centro de diálisis,,,,,,,enfermeria,,,,,,,,,,,,,,,Calle de Boix y Morer 9 28003 Madrid,Calle,de Boix y Morer,9,28003,Madrid,440078,"4476862"
96,CS0037,Centro de salud,,,,,,,enfermeria,,,medicinageneral,,,,,,pediatria,,,,,vacunacion,Calle de las Calesas 12 28026 Madrid,Calle,de las Calesas,12,28026,Madrid,440110,"4471276"
97,CS0038,Otros centros especializados,,,,,,,enfermeria,,fisioterapia,medicinageneral,,,,,,,,psiquiatria,rehabilitacion,,,Calle del Capitán Haya 39 28020 Madrid,Calle,del Capitán Haya,39,28020,Madrid,441312,"4479046"
98,CS0045,Consulta médica,alergologia,,,,,,,,,,,,,,,,,,,,,Calle de Castelló 42 28001 Madrid,Calle,de Castelló,42,28001,Madrid,442210,"4475323"
